return_period,median,LB,RB,group
10,-57.46823622357238,-181.04018088276362,0.0,high
20,-166.2528554043928,-341.6704738725236,0.0,high
30,-272.6370885476223,-483.5161180634964,0.0,high
40,-394.582304071416,-631.9153455309724,-41.034700431192576,high
50,-506.40352701825066,-765.9363700922523,-84.61208878547379,high
60,-613.3195285947661,-892.1337488361028,-132.772293823267,high
70,-731.6398234634073,-1026.8874179920556,-202.44980080146692,high
80,-840.130587388594,-1149.744688106629,-266.3388062240768,high
90,-940.7079496139042,-1264.849891542262,-325.5676973123152,high
100,-1051.8256384036265,-1388.03271669833,-401.441088896547,high
110,-1145.2668268574682,-1492.2934111836687,-462.91555498460065,high
120,-1233.71672316682,-1590.9848744341039,-521.106276240753,high
130,-1317.8287049790792,-1684.836138350941,-576.4431063803975,high
140,-1400.797312831802,-1775.8845523760374,-632.4156614460042,high
150,-1492.2908174784247,-1873.3333014049826,-700.9193788548063,high
160,-1567.0484213886068,-1954.2189489345503,-753.8061483933693,high
170,-1640.0194737825407,-2032.829094418905,-804.7387331252555,high
180,-1710.1264905136213,-2109.8221052930394,-853.8985898336235,high
190,-1777.5234284216895,-2183.540497268026,-901.4412877967611,high
200,-1849.2687423431773,-2260.0327097492996,-954.8926236676322,high
210,-1925.1204982474949,-2341.394737496574,-1014.0726555821441,high
220,-1988.5797812450005,-2407.685882168456,-1061.3370772582039,high
230,-2049.8408802065082,-2474.04856030248,-1107.3264534946516,high
240,-2109.8222398105304,-2539.2743216311455,-1152.1285816578952,high
250,-2168.521876607828,-2602.1976244844127,-1195.8218384941333,high
260,-2224.9303142471604,-2663.7177103158742,-1237.7411006415002,high
270,-2267.5635342349515,-2710.597344397307,-1268.7378470004437,high
280,-2292.1405906687332,-2738.2421910813655,-1288.7111458987629,high
290,-2285.115839869446,-2736.3619676665853,-1272.996519800121,high
300,-2259.713631219731,-2715.1352924745906,-1237.5013610430856,high
310,-2218.756070720062,-2677.265703371897,-1185.5777074551659,high
320,-2162.8434973572994,-2624.809409437908,-1119.7704492583014,high
330,-2093.7587210755382,-2561.3720490507485,-1040.0734941769651,high
340,-2013.520225738078,-2486.4477728719335,-961.035021139737,high
350,-1923.881084072428,-2397.940173700322,-867.5374883363224,high
360,-1830.3919088223265,-2308.354193943313,-766.8759121138369,high
