return_period,median,LB,RB,group
10,-56.75395050928667,-130.30403120050929,0.0,low
20,-147.6945860073971,-251.6594428025614,0.0,low
30,-237.63179423668055,-362.9669207802958,0.0,low
40,-309.5038522717496,-451.63707182298293,0.0,low
50,-371.50831674297206,-526.9661438493226,0.0,low
60,-414.9531958003039,-582.569290438703,0.0,low
70,-450.6898506325008,-627.8438605840695,-2.1388910655473836,low
80,-472.3960024272402,-659.1181060850861,-0.3380781625685777,low
90,-491.7936629273779,-686.6034949543371,-1.251492375980888,low
100,-500.20647140379646,-703.015160851998,9.063319863896766,low
110,-496.2772353266415,-706.2100863921287,37.85027917958092,low
120,-489.7959963805638,-706.0583096049796,67.14639219441426,low
130,-476.7433302668079,-698.8171728593594,99.91181949375948,low
140,-455.86185968704024,-681.8688074985117,137.22811238022848,low
150,-434.6733313496993,-665.5379338121137,173.16453615966884,low
160,-409.5013940173179,-646.0458715783186,215.29349174004824,low
170,-380.6778696726444,-620.9486264823497,261.20362696925224,low
180,-349.2841635172765,-594.1251192030625,308.68716849601253,low
190,-317.6482172308556,-566.6717754764927,355.1703501965354,low
200,-283.387182008458,-537.2383687803388,403.3342948856407,low
210,-247.17607492986122,-503.50233352284476,453.4260326322981,low
220,-209.148066904688,-467.56497931714375,505.0786630003645,low
230,-172.5010651492862,-432.74531558046806,554.8625497148462,low
240,-133.63844003352096,-396.12574003468285,604.8870806350567,low
250,-94.81514052656257,-358.9924666817219,647.9369319751255,low
260,-57.06153711083198,-323.91980871729584,693.9332023312838,low
270,-22.678335961213634,-292.0905524158893,739.9139537556471,low
280,7.702233827568307,-263.66991828565597,781.626325095976,low
290,36.85327880108753,-236.6634516790823,820.5523073939935,low
300,63.10364296443095,-213.74830095331936,856.8067004464106,low
310,86.93766435845964,-192.47692596593288,890.5342223403231,low
320,109.45834481582506,-173.38267018594206,920.464534081296,low
330,129.5239779837989,-157.29544320396144,947.2228465997748,low
340,147.67942068745424,-141.60810165641942,971.8714696171648,low
350,163.52539469526164,-127.41030614937563,994.4924919281896,low
360,177.03308850748817,-116.47353167271103,1015.1656321150379,low
370,189.03087318860298,-107.07315936334953,1033.9993060869515,low
380,198.9841589728826,-99.26003554183715,1050.979661843537,low
390,207.1766764284548,-92.65246278058656,1065.3188309697061,low
400,214.5879268495055,-87.52644786254449,1078.2379718475058,low
410,220.0930803318347,-83.83240533521119,1089.7258058516995,low
420,224.16672113383538,-81.5217624859888,1099.6695996503026,low
430,226.394230965132,-80.54703804930068,1108.1260900259226,low
440,227.65642026691467,-80.8623149780642,1115.1497148042158,low
450,228.8483354287041,-81.70547828584631,1120.8789857153906,low
460,229.4588550126141,-82.31599786975812,1125.966648914647,low
470,230.0614536300609,-82.980050117264,1130.9883040600298,low
480,230.7335811049761,-84.1699419415695,1135.9461866613,low
490,231.59705377710452,-85.34503596109607,1140.842411742659,low
500,232.16860432643398,-86.11004934679204,1145.283219019348,low
510,232.5509096392998,-86.68350731609371,1149.4885774608824,low
520,233.03613285181746,-87.17865514179084,1153.5731028358405,low
530,233.74731525585503,-87.36540024253281,1157.3080048506981,low
540,234.48587840764867,-87.55004103048668,1161.0008206096795,low
550,235.12450328217346,-88.07341544273731,1164.6527914993994,low
560,235.1683365005474,-88.79587723882742,1168.265100479845,low
570,235.70440280222283,-89.51063230772706,1171.8388758243473,low
580,235.1937208161471,-89.69733115652434,1175.3751945590143,low
590,235.45893713447003,-89.08212573106084,1178.8750856304168,low
600,235.6687376443424,-88.61697664137228,1182.157340547641,low
610,235.4972404117243,-88.78847387398582,1184.901296269521,low
620,235.32742323801267,-88.95829104770199,1187.6183710489308,low
630,235.15924293746048,-89.12647134825237,1190.3092558577714,low
640,235.7436533153077,-89.29305618597208,1192.9746132612345,low
650,236.4037697524227,-89.45808529524764,1195.6150790096945,low
660,236.76445396989402,-89.62159682703438,1198.231263518298,low
670,237.14285714285688,-89.78362743488557,1200.823753243918,low
680,238.06933976759137,-89.94421235512797,1203.393111967779,low
690,238.98497049792877,-90.10338548162505,1205.6297255468444,low
700,239.61614631373232,-90.26117943557615,1207.6810469481998,low
710,240.2419310943842,-90.41762563073912,1209.714847485323,low
720,240.8624459092207,-90.57275433444734,1211.731520633538,low
730,240.67735868292402,-90.72659472473875,1213.7314457073235,low
740,240.2196180254541,-90.8791749438969,1215.7149885563604,low
750,240.23442358885404,-91.03052214866689,1217.6825022183712,low
760,241.1217807590847,-91.18066255741901,1219.6343275321788,low
770,241.42857142857156,-91.32962149446026,1221.570793713683,low
780,241.6239794410103,-91.47742343168008,1223.5410709006728,low
790,242.21065382549568,-91.62409202780142,1225.5944312463735,low
800,242.79288637549325,-91.76965016530082,1227.632245171365,low
810,243.3146171723747,-91.91411998524015,1229.654822650522,low
820,243.02781130260792,-92.057522920124,1231.5455175837305,low
830,242.7430976930391,-92.19987972490796,1232.427970053116,low
840,242.46043613024085,-92.34121050630799,1233.1346239601116,low
850,242.1797876418732,-92.48153475049183,1233.8362451810326,low
860,242.14832833361015,-92.62087134929696,1234.532928175062,low
870,242.56343016082337,-92.75923862503531,1235.2247645537545,low
