return_period,median,LB,RB,group
10,-163.85480000874873,-307.9247991120988,0.0,flat
20,-434.17534513061594,-637.2735508810179,0.0,flat
30,-719.2161938437664,-959.0885570212606,-26.12593024231281,flat
40,-929.6751505149762,-1192.1078030001088,-67.8204157249916,flat
50,-1033.409559376951,-1310.6029630290807,-78.34046491796164,flat
60,-1041.2989664123663,-1323.3969178232378,-103.22464690460703,flat
70,-1003.0030672415085,-1300.4487171268036,-45.81280543009325,flat
80,-955.9668850751752,-1253.7115512945409,-1.9241550209646903,flat
90,-903.4444569553189,-1199.2724065230695,51.153620684125144,flat
100,-841.4979623754075,-1140.3811294684087,114.47332527639674,flat
110,-772.0961541312031,-1070.3381862966612,184.62200861203746,flat
120,-700.6180557790549,-994.7714531341971,253.0534669866306,flat
130,-625.5634404683851,-921.4168791623515,328.7351199892605,flat
140,-555.8153183084846,-844.0018573611706,403.31524258703666,flat
150,-486.0811606172829,-767.5317867680924,472.2635065244026,flat
160,-420.0212523054788,-702.9092717720996,537.8267260482789,flat
170,-358.8961719317904,-643.353455397284,599.8316754503398,flat
180,-301.6152466201984,-585.9292367057697,657.5719603367297,flat
190,-247.34614931777014,-532.6977202053458,711.4424201205038,flat
200,-197.61097660632095,-482.3728813682237,761.2017749225788,flat
210,-152.65200454853584,-438.810709951209,807.0669831893956,flat
220,-110.29153626985135,-396.57160864197067,849.3824108815197,flat
230,-71.52321247441978,-357.35374635065455,888.2209883915966,flat
240,-36.13182989034976,-322.0202265576827,923.7535351363294,flat
250,-3.669580851928913,-289.61413829476714,956.3596356489124,flat
260,25.932234493280703,-259.8638241297758,986.1047975703277,flat
270,52.95959627131015,-232.85266592096286,1013.0953397033854,flat
280,77.74171641960311,-208.30755414827217,1035.9917476590654,flat
290,100.00424973538884,-186.2281526179022,1057.7699167880346,flat
300,120.02775970704079,-166.45234313775018,1077.6325441978315,flat
310,137.74193549399206,-148.80154776286236,1095.3525102371977,flat
320,153.48705432454426,-133.22404111291053,1111.1112354881943,flat
330,167.3840126439036,-119.28728973855141,1125.0191455246704,flat
340,179.5623305621284,-107.08538921911168,1137.2055491139854,flat
350,190.14389450808812,-96.5072412156951,1147.7875195174502,flat
360,199.2327653360262,-87.42857416247716,1156.8728103088279,flat
370,206.93160503761828,-79.73136544271802,1164.5686670942123,flat
380,213.3387132187636,-73.3225112458531,1170.9728625675807,flat
390,218.54824821983857,-68.11432428947592,1176.177063883155,flat
400,222.64885958806008,-64.01616688457761,1180.272174968486,flat
410,225.71957036360436,-60.9466206012512,1183.3400450880672,flat
420,227.84103959322238,-58.82552570827829,1185.4603913077808,flat
430,229.08507478493084,-57.58159188173522,1186.7041224039767,flat
440,229.52178280673797,-57.144883859931724,1187.140830425782,flat
450,229.52380952380736,-57.1428571428587,1187.1428571428587,flat
460,229.52380952381282,-57.1428571428587,1187.142857142855,flat
470,229.52380952380918,-57.14285714286052,1187.1428571428569,flat
480,229.52380952380918,-57.14285714285688,1187.1428571428569,flat
490,229.52380952380918,-57.1428571428587,1187.1428571428569,flat
500,229.52380952380736,-57.1428571428587,1187.1428571428587,flat
510,229.523809523811,-57.1428571428587,1187.142857142855,flat
