return_period,median,LB,RB,group
10,-74.93595635938222,-236.12712066687516,-2.554143832158773,0.5
20,-212.72980732175458,-445.1913938506909,-52.38688769128002,0.5
30,-345.710281621168,-628.9995249111166,-125.67380385661602,0.5
40,-498.82354829147584,-817.3505067972497,-215.39585248423546,0.5
50,-638.3722399817129,-987.230420197165,-289.3951911990526,0.5
60,-771.6519795531112,-1146.563316462411,-365.7424643051623,0.5
70,-920.2096831104052,-1317.7551755356458,-464.34271002902994,0.5
80,-1056.4258644831393,-1475.439351713461,-554.7516799666854,0.5
90,-1182.7063303882512,-1621.2765269401614,-638.5661484877775,0.5
100,-1322.0309906087355,-1776.9886947768382,-739.7039291767179,0.5
110,-1437.3991185624263,-1907.6941054034,-819.3748372268353,0.5
120,-1546.0442213170898,-2031.0584344664435,-894.5617978294591,0.5
130,-1649.9980658216011,-2148.3725143624906,-966.5922097018903,0.5
140,-1752.1123934840114,-2263.453340265669,-1038.5315403369582,0.5
150,-1865.058727414298,-2387.2955904263836,-1124.254874892553,0.5
160,-1957.4941578183254,-2490.3376855799547,-1191.3054549379376,0.5
170,-2046.9791568006924,-2590.3669768053346,-1255.0701533406889,0.5
180,-2132.458492651546,-2686.8793425489666,-1316.1585046915297,0.5
190,-2215.761722506756,-2780.216845167776,-1375.2372984839571,0.5
200,-2304.0032669518314,-2876.0899302567664,-1440.5369081713147,0.5
210,-2396.0417463511153,-2976.150092961782,-1511.4538264013001,0.5
220,-2473.0051389044784,-3062.0563729000232,-1567.979519892263,0.5
230,-2547.985341463096,-3145.1788744170176,-1622.9803279588261,0.5
240,-2621.016983707164,-3225.8512900367105,-1676.5612515054077,0.5
250,-2692.4956007751753,-3306.4476354170697,-1728.8160248838817,0.5
260,-2761.4787257567905,-3382.8886753430206,-1779.4151273796535,0.5
270,-2812.1297801729397,-3441.0777719045213,-1813.5238709172386,0.5
280,-2840.8054888372635,-3476.18941817847,-1826.682880040828,0.5
290,-2829.530755755679,-3471.6621646010517,-1801.1168329529762,0.5
300,-2794.8899741773575,-3444.4071575067255,-1753.0694516054655,0.5
310,-2739.882018519348,-3396.513557746816,-1684.4093320911943,0.5
320,-2667.570734126057,-3329.1368384269663,-1597.9624796368903,0.5
330,-2577.4745972425385,-3245.870359019857,-1496.120394957397,0.5
340,-2474.3273930151854,-3151.930280744461,-1379.5660360999655,0.5
350,-2359.367037613555,-3043.3158535756625,-1253.0901165279556,0.5
360,-2239.253953951256,-2925.733434830646,-1123.3945828850992,0.5
370,-2103.894517786466,-2797.5428364651802,-978.3908714936028,0.5
380,-1964.25892489123,-2658.605417841066,-828.990007865812,0.5
390,-1831.8531263973027,-2531.2947524770852,-687.0176800793488,0.5
400,-1706.6097597504454,-2411.527990582474,-553.1456696969726,0.5
410,-1588.69262333883,-2298.7824057168277,-424.7853417497149,0.5
420,-1476.6396792899473,-2192.253046275366,-302.55707285636527,0.5
430,-1369.740869756968,-2091.3602094364533,-186.46447692211495,0.5
440,-1268.0884685809833,-1992.8966991519255,-75.69925923248593,0.5
450,-1174.3640518988514,-1903.3445670387691,26.945657380993907,0.5
460,-1087.4847845606273,-1820.4113239414928,121.49920650818694,0.5
470,-1001.5493836095147,-1739.2095148676544,214.2530152364361,0.5
480,-918.2744858861879,-1660.2390315239782,304.4006769609223,0.5
490,-839.2762108130037,-1583.4292847442275,390.5169296971044,0.5
500,-763.8364956771575,-1512.884902029683,472.83781527816154,0.5
510,-692.25554969724,-1446.44179019693,551.21423038799,0.5
520,-623.4866059123215,-1381.7555965306638,626.0542762222303,0.5
530,-557.7225377031136,-1320.0922357298214,697.9000150659995,0.5
540,-495.1863891110006,-1261.286168472042,767.0773967704718,0.5
550,-435.144749424152,-1204.5064777120933,833.4119265371128,0.5
560,-378.91419465299805,-1150.8983727779287,895.7712784282448,0.5
570,-326.75871462185387,-1100.923657395364,952.9091780797753,0.5
580,-276.7941946335777,-1055.0557076816267,1008.1571356457998,0.5
590,-226.8278682686314,-1008.026232210289,1062.4422101459168,0.5
600,-178.80010405073517,-963.1137091114842,1114.4407195885824,0.5
610,-133.6705517275359,-920.2137577730155,1164.3529857933554,0.5
620,-89.78080313204828,-879.228676858711,1212.2785871199621,0.5
630,-47.64359665996017,-840.0669162394333,1258.3108790828119,0.5
640,-7.3328593142368845,-802.6425984925418,1302.537476281439,0.5
650,30.470649602601952,-766.8750846011699,1345.0406899507097,0.5
660,66.51025951271095,-732.6885791440618,1385.8979258481195,0.5
670,101.27453993301606,-700.0117708301341,1425.1820466327526,0.5
680,134.89786313004333,-668.7775047280074,1462.961702393406,0.5
690,166.54472306170828,-639.1987950764888,1497.5877825439866,0.5
700,195.76100634895374,-611.1845978949614,1530.0060135862595,0.5
710,223.92846654067398,-583.8300216863136,1561.3763292518106,0.5
720,251.83682430389308,-557.3123855566719,1592.043838931534,0.5
730,278.6728650321111,-531.9683768626292,1621.4990446650054,0.5
740,304.3668337995605,-507.74941854158715,1649.7914727550306,0.5
750,328.96526616748815,-484.60951564581956,1676.9680300561995,0.5
760,352.5122580952502,-462.50508594809617,1703.073175372002,0.5
770,374.3498927707333,-441.39480375658786,1728.149077507338,0.5
780,395.2080148050991,-421.2394557475018,1752.2357611790712,0.5
790,415.39803073151415,-402.0018077468867,1775.3712418633377,0.5
800,434.84686410440554,-383.64648150085304,1797.4453580591426,0.5
810,454.12832162122686,-366.1398405678847,1818.582578136752,0.5
820,472.29335339192767,-349.44988455236853,1838.8669323028307,0.5
830,489.79049168490565,-333.53335869076545,1857.544477698857,0.5
840,505.43309473155387,-318.32952666608253,1874.295016245369,0.5
850,520.1413823182083,-303.8216723351288,1890.330683767762,0.5
860,534.1971148124467,-289.85071751917894,1905.8141513434575,0.5
870,547.624436148255,-276.5005169687829,1920.6599724553398,0.5
880,560.3893052394269,-263.807971487191,1934.8306389440295,0.5
890,572.5149972791387,-251.75005441850954,1948.276750867055,0.5
900,584.0237523813612,-240.30476008809637,1960.7314596064662,0.5
910,594.9518927850222,-229.45104803755203,1972.5823758429942,0.5
920,605.290682527353,-219.16879088097812,1983.8501836516953,0.5
930,615.5332383783134,-209.43872551321147,1994.554671488604,0.5
940,624.7380638525192,-200.24240741920403,2004.714779912756,0.5
950,633.7410279082778,-191.56216785600736,2014.3486462860346,0.5
960,642.2805566825555,-183.38107369933277,2023.4736466712911,0.5
970,650.4188420724167,-175.68288976196527,2032.1064351325913,0.5
980,658.0871511386395,-168.74780261882006,2040.2629806235964,0.5
990,665.0142854271489,-162.1962761976938,2047.4156095803028,0.5
