step,count_action_fam,count_floodplain_fam,risk_averse,seed
0,0,437,0.3,1000
1,31,423,0.3,1000
2,37,411,0.3,1000
3,35,405,0.3,1000
4,21,401,0.3,1000
5,22,406,0.3,1000
6,22,407,0.3,1000
7,30,408,0.3,1000
8,35,408,0.3,1000
9,41,407,0.3,1000
10,34,407,0.3,1000
11,28,406,0.3,1000
12,29,410,0.3,1000
13,31,407,0.3,1000
14,34,408,0.3,1000
15,38,409,0.3,1000
16,26,409,0.3,1000
17,27,406,0.3,1000
18,22,408,0.3,1000
19,29,410,0.3,1000
20,15,407,0.3,1000
21,32,411,0.3,1000
22,29,409,0.3,1000
23,28,410,0.3,1000
24,25,409,0.3,1000
25,32,407,0.3,1000
26,26,408,0.3,1000
27,27,412,0.3,1000
28,24,411,0.3,1000
29,34,414,0.3,1000
30,25,417,0.3,1000
31,25,414,0.3,1000
32,27,415,0.3,1000
33,35,415,0.3,1000
34,42,418,0.3,1000
35,32,420,0.3,1000
36,30,419,0.3,1000
37,36,421,0.3,1000
38,26,420,0.3,1000
39,32,419,0.3,1000
40,31,422,0.3,1000
41,34,420,0.3,1000
42,27,420,0.3,1000
43,38,422,0.3,1000
44,20,423,0.3,1000
45,30,422,0.3,1000
46,35,421,0.3,1000
47,37,421,0.3,1000
48,24,422,0.3,1000
49,22,424,0.3,1000
50,32,421,0.3,1000
0,0,437,0.7,1000
1,31,423,0.7,1000
2,37,411,0.7,1000
3,35,405,0.7,1000
4,21,401,0.7,1000
5,22,406,0.7,1000
6,22,407,0.7,1000
7,30,408,0.7,1000
8,35,408,0.7,1000
9,41,407,0.7,1000
10,34,407,0.7,1000
11,28,406,0.7,1000
12,29,410,0.7,1000
13,31,407,0.7,1000
14,34,408,0.7,1000
15,38,409,0.7,1000
16,26,409,0.7,1000
17,27,406,0.7,1000
18,22,408,0.7,1000
19,29,410,0.7,1000
20,15,407,0.7,1000
21,32,411,0.7,1000
22,29,409,0.7,1000
23,28,410,0.7,1000
24,25,409,0.7,1000
25,32,407,0.7,1000
26,26,408,0.7,1000
27,27,412,0.7,1000
28,24,411,0.7,1000
29,34,414,0.7,1000
30,25,417,0.7,1000
31,25,414,0.7,1000
32,27,415,0.7,1000
33,35,415,0.7,1000
34,42,418,0.7,1000
35,32,420,0.7,1000
36,30,419,0.7,1000
37,36,421,0.7,1000
38,26,420,0.7,1000
39,32,419,0.7,1000
40,31,422,0.7,1000
41,34,420,0.7,1000
42,27,420,0.7,1000
43,38,422,0.7,1000
44,20,423,0.7,1000
45,30,422,0.7,1000
46,35,421,0.7,1000
47,37,421,0.7,1000
48,24,422,0.7,1000
49,22,424,0.7,1000
50,32,421,0.7,1000
0,0,424,0.3,1001
1,26,413,0.3,1001
2,25,407,0.3,1001
3,35,397,0.3,1001
4,37,399,0.3,1001
5,29,401,0.3,1001
6,34,407,0.3,1001
7,37,403,0.3,1001
8,22,409,0.3,1001
9,27,408,0.3,1001
10,25,409,0.3,1001
11,35,406,0.3,1001
12,29,411,0.3,1001
13,36,408,0.3,1001
14,36,409,0.3,1001
15,20,411,0.3,1001
16,26,412,0.3,1001
17,25,410,0.3,1001
18,36,411,0.3,1001
19,37,415,0.3,1001
20,38,416,0.3,1001
21,26,415,0.3,1001
22,32,418,0.3,1001
23,34,420,0.3,1001
24,39,422,0.3,1001
25,41,416,0.3,1001
26,38,420,0.3,1001
27,27,424,0.3,1001
28,30,426,0.3,1001
29,20,429,0.3,1001
30,24,424,0.3,1001
31,30,427,0.3,1001
32,27,427,0.3,1001
33,29,425,0.3,1001
34,28,428,0.3,1001
35,33,430,0.3,1001
36,27,428,0.3,1001
37,27,426,0.3,1001
38,37,428,0.3,1001
39,30,427,0.3,1001
40,30,428,0.3,1001
41,14,430,0.3,1001
42,18,429,0.3,1001
43,37,426,0.3,1001
44,26,429,0.3,1001
45,28,432,0.3,1001
46,35,433,0.3,1001
47,25,433,0.3,1001
48,27,432,0.3,1001
49,36,430,0.3,1001
50,37,432,0.3,1001
0,0,424,0.7,1001
1,26,413,0.7,1001
2,25,407,0.7,1001
3,35,397,0.7,1001
4,37,399,0.7,1001
5,29,401,0.7,1001
6,34,407,0.7,1001
7,37,403,0.7,1001
8,22,409,0.7,1001
9,27,408,0.7,1001
10,25,409,0.7,1001
11,35,406,0.7,1001
12,29,411,0.7,1001
13,36,408,0.7,1001
14,36,409,0.7,1001
15,20,411,0.7,1001
16,26,412,0.7,1001
17,25,410,0.7,1001
18,36,411,0.7,1001
19,37,415,0.7,1001
20,38,416,0.7,1001
21,26,415,0.7,1001
22,32,418,0.7,1001
23,34,420,0.7,1001
24,39,422,0.7,1001
25,41,416,0.7,1001
26,38,420,0.7,1001
27,27,424,0.7,1001
28,30,426,0.7,1001
29,20,429,0.7,1001
30,24,424,0.7,1001
31,30,427,0.7,1001
32,27,427,0.7,1001
33,29,425,0.7,1001
34,28,428,0.7,1001
35,33,430,0.7,1001
36,27,428,0.7,1001
37,27,426,0.7,1001
38,37,428,0.7,1001
39,30,427,0.7,1001
40,30,428,0.7,1001
41,14,430,0.7,1001
42,18,429,0.7,1001
43,37,426,0.7,1001
44,26,429,0.7,1001
45,28,432,0.7,1001
46,35,433,0.7,1001
47,25,433,0.7,1001
48,27,432,0.7,1001
49,36,430,0.7,1001
50,37,432,0.7,1001
0,0,423,0.3,1002
