return_period,median,LB,RB
10,-7.879006825111411,-74.0701711326044,0.0
20,-60.3802690493027,-212.72980732175455,0.0
30,-154.9214460188001,-370.59761807808525,-4.259935713903102
40,-204.6467219782366,-474.8575514293853,32.47831339012913
50,-221.92851101504687,-541.8319869322987,90.07289439225909
60,-193.28091912872105,-547.0498413004597,197.65190120027682
70,-139.00278357087677,-521.3634799272126,327.32182988038767
80,-49.029232166571546,-453.2939465614435,491.84345881970603
90,60.35104055160258,-386.0575718234672,664.8528967753778
100,190.82892933882727,-301.8182330904949,849.6730317212891
110,328.5821726996678,-246.4130442802405,1026.6129300197754
120,443.46153824997214,-189.71324801509587,1189.7977542585318
130,559.4045970208186,-114.18493158631252,1347.5603784807954
140,673.0527223516115,-53.3476833442821,1503.1966360950144
150,773.038271793783,-24.002088724049564,1643.5471744683105
160,866.5274388866342,10.735117138298031,1777.7404544847525
170,957.1114677232486,33.98788933982544,1907.3683825919418
180,1041.4487774576564,55.21893845000026,2026.0032887037976
190,1120.423251630839,99.47062572271497,2131.7586712620346
200,1195.638853888051,145.66581294740587,2229.8940966647797
210,1264.4706929584636,189.0081640480962,2324.7486719490003
220,1332.5823244113308,214.72793137947065,2414.546788794725
230,1394.122684286188,235.7432246054418,2495.046909046255
240,1452.0730084735537,252.95615486183672,2571.5198997531015
250,1504.0077287101408,274.53521487339555,2644.183780825876
260,1556.0579280619186,296.39154406940276,2713.648143958165
270,1602.933837662481,315.42884767064885,2778.023817354755
280,1647.23343275367,331.3177598202556,2836.744802526488
290,1688.8528800441818,345.4911814173684,2893.0808341764487
300,1726.6311574489382,358.03361299913655,2950.255528553305
310,1762.4669910840285,369.1021527457024,3006.5041128306198
320,1795.610689177187,378.70517771035617,3060.034322957108
330,1823.05587071012,385.26881752199375,3107.243525544195
340,1849.6200205115229,390.5398293565277,3152.1473611546926
350,1875.5413971377575,394.5800267949999,3194.8555288730167
360,1898.016577121216,398.4435707747162,3235.471307336338
370,1919.8890068917544,405.5254193365222,3273.409290039205
380,1940.0489158356786,411.05697090003196,3306.30701796839
390,1956.846339342901,410.5422021859258,3334.8596294387316
400,1972.202764659376,409.2560555184346,3361.7794675614896
410,1987.326200155686,407.2178666978071,3387.1403511709295
420,2001.323038226882,404.4474554169347,3411.664007219461
430,2014.0288447730572,401.0581069034643,3442.8186370888143
440,2025.956689254308,402.39900535744164,3472.617454479201
450,2035.9513834307381,402.3473662847873,3496.0961788614304
460,2045.9232033012795,398.073729197411,3515.836312074547
470,2052.2889222494214,393.85553887528937,3535.32033403863
480,2059.45972906066,389.69091749022033,3554.556918531559
490,2064.943501151779,385.57808842188126,3573.5542718472307
500,2073.8193445283496,381.51536885815597,3592.3201669749187
510,2082.803519380721,377.50116307305154,3610.861974648963
520,2091.4677179563296,373.6413503048872,3628.6139236280123
530,2099.1242670867887,370.27993849151625,3643.740276788186
540,2106.087191383129,366.9564043084321,3658.6961806120507
550,2112.5689696812115,363.6696305076841,3673.486662715426
560,2118.7291702693947,360.4185524252846,3688.116514086226
570,2123.727166209006,357.2021546152266,3702.5903042314667
580,2129.1886944236157,354.01946775403144,3716.9123951068614
590,2134.6135255842855,350.8695657897663,3731.0869539460473
600,2139.527938040208,347.9793036621871,3744.5713882545615
610,2143.129379925178,345.74983963816004,3756.4046973051627
620,2146.6955405731514,343.54221637988877,3768.122082291371
630,2150.227326884755,341.35587247270297,3779.726523029498
640,2155.9785941234895,339.9559485984667,3791.2208768319306
650,2160.7378466669343,338.96577394279336,3802.607885372159
660,2164.8256349616277,337.9847047520674,3813.0100953364745
670,2170.002562494148,337.0125211049584,3822.3852232045374
680,2175.3018648621182,336.0490115835113,3831.217393817815
690,2179.313952256991,335.30074378778625,3838.6279045139836
700,2182.627625289948,334.6695679719818,3845.2552505798976
710,2185.9129953883803,334.0437831913317,3851.8259907767515
720,2189.170698166263,333.4232683764934,3858.3413963325274
730,2192.3767283414727,332.8079068153314,3864.8026927247665
740,2195.2757525054512,332.1975859387025,3871.2110619293435
750,2198.1513493960774,331.59219711962254,3877.567644529683
760,2201.004017162415,330.9916354846068,3883.8735416973686
770,2203.8342369661514,330.39579973644726,3890.129817053001
780,2206.398213757817,329.9022959937815,3895.848978385211
790,2208.451574103514,329.6089588015424,3900.5423734610995
800,2210.489388028507,329.31784252654364,3904.2412541325375
810,2212.5119655076633,329.0289028866595,3907.852999631037
820,2214.5196065960336,328.74209701689546,3911.438073003119
830,2216.512601863011,328.4573834073257,3914.9969931227206
840,2218.4912328025985,328.1747218445275,3918.5302626576995
850,2220.455772221172,327.894073356158,3922.0383687623034
860,2222.4064846044657,327.6154001585459,3925.52178373246
870,2224.343626464797,327.33866560707287,3928.9809656259167
880,2226.0698891859065,327.1428571428591,3931.9027093907316
890,2227.298222098216,327.1428571428591,3933.5404866071476
900,2228.5182971114937,327.1428571428573,3935.167253291518
910,2229.373954319235,327.1428571428591,3936.7832046518815
920,2230.042840020091,327.1428571428573,3938.388530333945
930,2230.707375146838,327.14285714285546,3939.98341463812
940,2231.367634350052,327.14285714285546,3941.5680367258465
950,2232.02369022094,327.1428571428573,3943.1425708159677
960,2232.95659475962,327.1428571428573,3944.7071863715173
970,2233.515920854441,327.1428571428573,3946.2620482776147
980,2234.031010432205,327.1428571428591,3947.8073170109
990,2234.2857142857156,327.1428571428591,3948.571428571424
1000,2234.2857142857174,327.1428571428591,3948.571428571424
