return_period,median,LB,RB
10,-23.160657969889535,-93.33453753811274,-2.251144807174688
20,-118.92537927186534,-263.67709251450106,-31.846189896702334
30,-245.00140818545475,-451.88773325423927,-89.96493042090269
40,-381.2713363004029,-630.942580503128,-164.34764968906237
50,-542.9050830557142,-832.8529379948178,-269.9749555896793
60,-698.5455838442709,-1022.0283493249991,-373.9927133545965
70,-869.775412107502,-1221.2008456872118,-495.67794322047376
80,-1025.596553069565,-1403.333031840079,-606.2294189121287
90,-1202.2744853078161,-1606.273006884394,-743.1350074184955
100,-1370.2465280698186,-1796.1450180732645,-861.1325006052894
110,-1514.338137709844,-1960.6408772079383,-970.5678762508477
120,-1671.3405006708522,-2135.678566746446,-1092.5356280037436
130,-1818.8149267402664,-2302.1317518064957,-1205.9934040405064
140,-1941.5559164399142,-2442.2631248339526,-1304.7831772413213
150,-2080.731044364706,-2594.8779216121734,-1415.9629217735235
160,-2215.1130007519478,-2741.4831577595132,-1523.7170004642205
170,-2337.6440662830746,-2875.1846178046926,-1622.8476807198583
180,-2453.535528895652,-3000.6809244748547,-1725.648423480851
190,-2579.0036717393195,-3133.520815842446,-1838.0967832943193
200,-2699.662209883712,-3267.8809092980546,-1937.6008504263991
210,-2813.2421889223415,-3398.5614805932337,-2029.054959408365
220,-2914.040175077609,-3509.709245406115,-2109.963918720675
230,-3026.5488636176706,-3627.790076283483,-2206.2930175943175
240,-3139.1261211928036,-3742.8225675134327,-2300.1353130713815
250,-3245.997465616576,-3855.0079566875584,-2391.6549726607996
260,-3342.0753977429686,-3973.5816930938495,-2471.9281693254597
270,-3438.1072055117484,-4082.8312427750716,-2552.211784335419
280,-3540.197855549288,-4200.947361280798,-2641.4464117080906
290,-3640.9474785754246,-4308.773188002919,-2728.785331353008
300,-3740.450425011223,-4414.386703427627,-2814.3322788470223
310,-3832.383191887112,-4513.02851788006,-2893.305623942105
320,-3914.750344156463,-4603.837182636638,-2962.846601113519
330,-4013.8931686400683,-4702.635887657691,-3047.2923737264423
340,-4109.487657871254,-4806.115145504975,-3131.5653633712127
350,-4201.290249325355,-4912.285133052673,-3216.4340084635433
360,-4292.774770326102,-5012.680615234986,-3302.0335086205764
370,-4376.675455362532,-5108.22576459332,-3374.3182369729448
380,-4454.069114047991,-5191.123381246111,-3441.646251519864
390,-4540.401242979116,-5289.303452846363,-3530.0675470485226
400,-4631.636821022088,-5385.353723222079,-3615.6966627328275
410,-4720.312789336338,-5476.363049237338,-3690.5556527166023
420,-4805.00680764106,-5565.131047843128,-3764.325661438119
430,-4888.974303765682,-5653.850261456559,-3836.4263885224036
440,-4959.75785884357,-5739.228240840961,-3902.0993220796854
450,-5035.024265827877,-5817.889800610399,-3974.259211476433
460,-5117.2409031278685,-5915.91184767455,-4053.2197443289006
470,-5197.9371410664335,-6012.381515910423,-4127.24633034796
480,-5278.934574959168,-6097.905354449715,-4200.028046934616
490,-5358.347938329567,-6179.770237810036,-4271.904631128964
500,-5436.21655816655,-6260.63770341181,-4342.905492075977
510,-5503.99764892094,-6345.102922400696,-4403.432307956849
520,-5572.279220154571,-6417.113409244461,-4465.221556750046
530,-5649.7954448697365,-6499.081827826882,-4536.744930334578
540,-5726.404363961705,-6577.738803493145,-4607.462352119037
550,-5802.182759923426,-6655.5257834442145,-4677.397594657206
560,-5876.595177587462,-6746.67260472706,-4746.573311632736
570,-5949.867481033854,-6840.126829985811,-4815.011109479967
580,-6020.35121389869,-6928.063283192977,-4881.03167265013
590,-6082.741079259837,-6996.91306945883,-4938.779875328269
600,-6146.484812273437,-7067.168033322567,-4998.949426694806
610,-6216.798677646595,-7140.054357184985,-5066.734884159746
620,-6287.866930210315,-7212.226656013065,-5133.8126677764285
630,-6358.152855979639,-7283.703283747893,-5200.243886494682
640,-6426.854627810276,-7363.587474790265,-5266.044897392667
650,-6495.7726439826165,-7446.331293347582,-5331.231395557754
660,-6563.629929674575,-7518.276367334235,-5395.818450613955
670,-6624.480617951454,-7583.950827109566,-5453.665267992382
680,-6683.177048192268,-7657.980475340853,-5508.745895635183
690,-6746.8892735917325,-7728.082808940333,-5570.165719810715
700,-6813.478322158811,-7800.825821711483,-5635.111753929654
710,-6884.000759311406,-7873.572567745188,-5698.941801556202
720,-6953.6310901086035,-7949.275375155164,-5762.234312669463
730,-7020.56980630134,-8021.7049982831995,-5825.058300244271
740,-7085.7215598811945,-8095.951680874398,-5888.1176903863
750,-7150.346816317998,-8174.268844122807,-5954.105071666032
760,-7211.344769278792,-8248.917593749251,-6014.443064811495
