return_period,median,LB,RB
10,-3.376717210762032,-32.90087079307995,0.0
20,-35.88574552952298,-135.32976045604153,0.0
30,-99.22499149920971,-270.9830505309579,-4.763708854762228
40,-171.25069116595347,-407.7650229290781,-13.177557574049722
50,-274.34617668944605,-576.2627445920116,-51.58706285151605
60,-376.1458457360675,-739.0684540817178,-89.36145501283565
70,-489.77698103193296,-911.9475515842325,-142.17057055229958
80,-598.227704946279,-1071.298208536454,-187.6088228238283
90,-729.1338458000923,-1253.7030567363875,-249.1389498809553
100,-853.03271669833,-1420.359778130347,-318.29400217050005
110,-958.361575360144,-1567.1524976735432,-382.150460417448
120,-1080.3293271130403,-1725.8967852603275,-459.93311906868576
130,-1196.3153230857354,-1875.5944854000268,-530.4545532364964
140,-1289.619723481239,-1999.2356916123122,-587.4933923698198
150,-1395.3698191991507,-2140.9363897516478,-669.681120462584
160,-1500.2676012656655,-2276.6678140906065,-747.8446548541365
170,-1601.4503830631131,-2402.3975602920195,-818.7610928872857
180,-1693.9625635984976,-2521.145726408268,-884.0481485426759
190,-1797.4302188078375,-2651.445366892185,-965.930603361882
200,-1900.2788412982432,-2777.7718831442057,-1039.0848326123812
210,-1993.8476797860053,-2892.2273594968456,-1109.5810549920593
220,-2074.401604874549,-2992.3234467922684,-1169.1383476081871
230,-2169.364014611599,-3105.1217141830175,-1247.5802030526852
240,-2262.1191747820203,-3216.2642882220216,-1327.4513697910197
250,-2353.2834897603184,-3325.7926550209713,-1409.915144230313
260,-2434.1163090382856,-3429.843512464818,-1468.2304857100407
270,-2516.842489653267,-3526.3885017697644,-1531.0703364425935
280,-2610.857227000025,-3631.046398071046,-1611.7670828012137
290,-2701.2051739841763,-3740.790685132524,-1690.7495008751662
300,-2788.5454793372605,-3845.969597268194,-1763.3143609482793
310,-2871.8230282638324,-3937.2370654928304,-1827.384241882407
320,-2944.1633918939433,-4038.1526217183773,-1882.2809601858362
330,-3033.365487983255,-4146.6277840769335,-1958.213520465396
340,-3123.657752778295,-4243.520755673019,-2033.8345036816247
350,-3207.5620162736664,-4344.974320810269,-2104.968241397169
360,-3286.9321969015846,-4449.924244973409,-2176.0209474685007
370,-3368.7940703907434,-4543.962936567702,-2236.929402765162
380,-3438.896380775186,-4626.759314828707,-2292.1687117461925
390,-3524.707326632938,-4727.977013108778,-2363.0407425134363
400,-3615.804020358736,-4835.066716978392,-2438.687028243997
410,-3700.3080950903386,-4939.762130747118,-2508.3080714067482
420,-3782.07892748132,-5045.604229884349,-2576.916330246878
430,-3864.161989592086,-5142.852115841524,-2647.8342026581013
440,-3930.7745853099595,-5221.516376866133,-2706.1666007072763
450,-4001.190146678981,-5304.676835496645,-2770.446040102306
460,-4083.924907384198,-5406.080656498584,-2842.080337947843
470,-4160.878601377197,-5503.500766319003,-2912.785242394827
480,-4238.164412347883,-5599.683688783655,-2980.2099232700175
490,-4313.438099363103,-5694.6704553620175,-3046.6027353732457
500,-4387.161892893557,-5788.499931000442,-3112.18663690196
510,-4452.177225671114,-5874.3071591226,-3168.111187733959
520,-4516.4581623653685,-5953.815839113924,-3226.352881136222
530,-4594.274428319142,-6042.39810647751,-3296.94252921704
540,-4669.816618874478,-6131.483444588208,-3366.736747061758
550,-4743.951627935827,-6212.230062742514,-3435.7589968774946
560,-4818.396024349057,-6287.185474086755,-3504.0316366079105
570,-4893.314663492991,-6361.341312485192,-3571.575990619015
580,-4960.108915552818,-6437.656834888279,-3635.0341133963857
590,-5022.927711287674,-6509.404601852038,-3690.1573977709786
600,-5086.6615225407895,-6583.796326566073,-3748.001902159418
610,-5157.81939789755,-6668.571477947283,-3814.371331182376
620,-5230.587983550588,-6758.404762841524,-3880.0905774093526
630,-5301.468324460457,-6847.372141833819,-3945.1763537231873
640,-5370.3803792713925,-6926.53307256848,-4009.644685919441
650,-5438.788024036459,-7014.42474598383,-4073.2494627777405
660,-5506.348907067284,-7105.880241076908,-4135.22033332534
670,-5571.184164531913,-7188.172270599934,-4190.829772866
680,-5630.440000100991,-7271.8370140457055,-4243.822796545662
690,-5699.016052798541,-7361.176112811086,-4303.79368296649
700,-5769.7077441683305,-7453.169987964182,-4367.226852454562
710,-5839.795639601404,-7544.378119744273,-4430.1182229101305
720,-5907.954326085431,-7634.818154006601,-4492.4799618011375
730,-5975.620507581827,-7724.50710154645,-4551.43216324905
