return_period,median,LB,RB
10,-34.0264431966673,-94.157110916716,-9.567365430492428
20,-154.19572816915425,-268.4924735248308,-63.531951048129656
30,-297.49577402014586,-450.73137937904795,-155.60653054825076
40,-394.36758266011844,-585.0782461478703,-220.31307557142642
50,-462.5344374675162,-695.7149991714161,-239.69203790608177
60,-480.7741300957796,-761.0125869942434,-206.83272348691636
70,-474.5758240642723,-830.2643264756737,-158.82762445021058
80,-422.689578411393,-903.5792047406064,-62.256041792215456
90,-346.81126126173103,-968.7007199336737,55.25758954093976
100,-253.1160413747225,-1018.291803376502,198.0998629673427
110,-144.7264922291488,-1078.6861328757639,334.87222187359316
120,-44.66997299048444,-1127.9603118199964,464.67301760166015
130,50.16657583647475,-1176.5485827299233,584.515914958806
140,143.85267554931443,-1202.8588725045934,701.2549655110847
150,226.36511217012958,-1236.3063100355703,807.3784183753774
160,308.4865020315233,-1264.831113486557,909.361747717357
170,383.73865841150246,-1291.2687114959297,1004.3941614459436
180,445.6615522508291,-1311.5052797109383,1096.5850512100774
190,505.46435014585404,-1326.1256683240128,1178.5086372175178
200,566.9851090798775,-1349.514153108195,1262.0821140340008
210,625.5798277749586,-1354.2751643247186,1340.4259950617397
220,683.496526388014,-1374.288343069452,1410.0567178279803
230,731.1974478297889,-1392.8746555003686,1469.6013647255613
240,778.512620773321,-1413.9554840915928,1531.3421314677216
250,814.2826725009618,-1440.6660102072663,1590.0152249963894
260,850.3151589388226,-1466.5822575185612,1642.1192691432334
270,887.6194328097863,-1482.8454203589922,1690.015607210291
280,923.1149965468003,-1503.5158917102735,1733.2637290760886
290,956.4859426724624,-1520.2100498445525,1773.4848928433175
300,987.8184975528611,-1531.920031095765,1808.8196686752726
310,1013.5670179549406,-1544.793911186449,1847.4744780213086
320,1041.0950198184782,-1565.5641745158373,1881.6093766659133
330,1060.063794519645,-1583.9452616871527,1910.762996772376
340,1077.0959079103477,-1602.554975456253,1937.9588027480559
350,1095.3060694212736,-1621.430959106301,1963.2932353078422
360,1115.4395180243246,-1638.901714477931,1987.1618625770725
370,1133.2959142875725,-1654.432687393376,2010.4178750270949
380,1141.8411537018155,-1670.1837571704373,2032.019417087984
390,1152.7867829063389,-1683.6665927954964,2051.3923606529543
400,1163.7043696984647,-1697.615716008875,2069.311129503222
410,1171.4444946429385,-1712.0430247164213,2085.8397466740043
420,1181.0444059209676,-1726.9564623795877,2101.038793777191
430,1186.466558284319,-1742.3606078010826,2114.965666730741
440,1191.8376177033242,-1758.2575493112308,2127.6745050310346
450,1198.2987497155218,-1773.9732262889838,2138.4393171448446
460,1203.9969324986896,-1789.0327093587885,2147.5971109035063
470,1207.209356751975,-1803.8968085891156,2158.8071511335556
480,1204.6333875768723,-1818.57214108888,2170.309438768506
490,1209.5823226626217,-1833.0649673297012,2181.6686809572557
500,1215.3862077536578,-1847.3812172209255,2192.889525466592
510,1219.998449235929,-1861.526513797,2203.9763795397357
520,1222.037137410467,-1875.2198107868453,2214.503850808145
530,1225.2118041230951,-1887.5449874358765,2223.0941254423196
540,1228.3506975182245,-1898.9306229527647,2231.587601687974
550,1231.0486289492183,-1908.0605501770697,2239.9871347343324
560,1233.4334369803946,-1917.0913226281837,2247.5098750534635
570,1236.5941919782108,-1926.0257609894452,2253.2279156046716
580,1237.2276299316745,-1934.8665578261061,2259.7576097987767
590,1240.1759827690803,-1943.6162855046132,2268.1573483701413
