return_period,median,LB,RB
10,-6.190648219730393,-57.90008724733909,0.0
20,-50.72531678424796,-177.3903229448727,0.0
30,-130.39555336944096,-322.3840512974705,-5.292265673710098
40,-169.92420716801473,-417.08986974441217,31.530004478009072
50,-178.42587841832648,-479.3720026950769,100.42468308992107
60,-142.1779937247453,-484.38701471687733,211.11255054470774
70,-87.30768580528377,-465.85669413181887,336.06588892688114
80,0.04737125638899897,-411.8450960433912,497.48160553784425
90,113.58843223564315,-350.935831661948,665.4486168263481
100,244.9799498608313,-275.4919350692725,852.2323500572755
110,370.50963526974675,-238.6503407925711,1041.5782122398766
120,490.8190391965942,-194.53008382519886,1217.6254675971927
130,604.9961669282485,-157.7983074206602,1383.5530082621135
140,712.3154690871412,-106.00666979026066,1538.2945511529915
150,806.78048220668,-62.14754252885067,1676.7654172989621
160,902.0342802365442,-16.841919277122173,1811.2551788545584
170,992.8006228892968,24.702010721862337,1940.3859525817168
180,1079.4189710572296,58.845831972883865,2060.2623247651486
190,1156.3201103079011,81.4976161800259,2168.7963116171904
200,1230.072476174154,100.71877153830643,2272.1135992226095
210,1297.380816008886,118.41489985060763,2366.7057543031015
220,1363.8932770321562,134.7446060484326,2458.0060476101057
230,1423.3167603819425,147.5017219903946,2541.3860118909206
240,1477.319589084686,159.68604010621436,2621.587464558234
250,1528.9165860522476,172.19345343215338,2697.953496202316
260,1578.6520098062258,182.22116173754742,2773.1311121291465
270,1622.4609926569863,191.30986769784838,2842.775205093499
280,1663.6346143279745,199.58533654018245,2906.0066708060713
290,1702.6412381125301,206.7961119716131,2966.1548949237635
300,1739.1947847240003,213.18060637386057,3023.381484742602
310,1774.8656982941013,226.01514088695694,3077.933942022274
320,1807.514383378289,241.45257739284844,3129.7770818853733
330,1836.1132560795281,256.0201525216721,3175.1036664714284
340,1863.217897128195,259.5552533403371,3218.139448251842
350,1888.618836120846,258.4062018630948,3258.99674327025
360,1911.6006707090396,256.4719755935609,3297.780959234519
370,1932.7505727473813,263.534378305434,3334.6207346939213
380,1951.6321969950195,270.5721531250161,3369.3610225403104
390,1968.2635568763653,276.41503505682516,3398.8880043792433
400,1983.46795193355,281.31797565944777,3429.406942461615
410,1997.3092219838618,285.29816738000085,3459.410174496934
420,2010.39283975943,288.37423332215945,3487.8676150982465
430,2021.5807999328576,290.5836596560207,3511.7972075692373
440,2031.3293179651773,292.08512532036326,3533.1931571486207
450,2041.0195531447139,292.6497798142895,3552.785231075378
460,2049.072641458801,292.6650428038872,3570.973627012722
470,2056.20339176524,292.68010776932346,3588.912090941224
480,2063.2435850590427,292.6949814171272,3606.6166897103603
490,2071.3397875242226,292.7096700923713,3624.088473299751
500,2079.2327596920722,292.72417980509715,3641.2873194528584
510,2086.375723334184,292.7385162543296,3658.280790609792
520,2092.520410396087,292.50746855721763,3674.5714424131565
530,2098.2161359687425,291.2422704996846,3688.54464457625
540,2103.8476800011867,289.9913291613297,3702.360391534526
550,2110.56376649349,288.75422402243646,3716.023327625694
560,2117.517461280847,287.5305543553103,3729.537878598784
570,2124.147353516846,286.3199379573601,3742.9082656064143
580,2131.573622859643,285.1220099859916,3756.138518072482
590,2138.324705565419,283.93642188555293,3769.232485543366
600,2144.01861864066,282.85279783570826,3781.599446306373
610,2149.6486970430897,282.02961111914306,3792.1936878513175
620,2154.4035779070564,281.214488685323,3802.6841437574453
630,2159.1126263225287,280.4072232426707,3813.073481824074
640,2164.9328622029598,279.6076160216317,3823.3642601740094
650,2170.860614324173,278.81547629709326,3833.558933399705
660,2176.4200064049546,278.0306209445109,3842.823776833303
670,2181.929047071896,277.2528740268269,3851.447855936181
680,2187.388934360105,276.4820664096651,3861.9648082955064
690,2191.8703513263536,275.7154507654393,3870.7125031180244
700,2195.476852679998,274.9540949376375,3878.286612907636
710,2197.9017687050246,274.1992420459681,3885.796030275477
720,2200.306263612516,273.45074605057505,3893.2422080535002
730,2203.1525591080317,272.70846616741824,3900.6265467874823
740,2206.8144843677865,271.972266609988,3907.9503973070027
750,2210.4468172822644,271.2420163469728,3915.215063135966
760,2214.050187092378,270.5175888747316,3922.406153680754
770,2216.8181685489653,269.79886200351984,3929.011545977306
780,2219.2065046118487,269.1345696595349,3934.215525127036
790,2221.1131963614307,268.5735622793707,3938.186577367026
800,2223.00545214892,268.016802403432,3942.1275639398236
810,2225.140371207194,267.46420534216594,3946.0390843146956
820,2227.2914152304447,266.9156891162334,3949.921718776667
830,2229.3127221381037,266.37117433794,3953.776029266195
840,2230.6741878298744,265.8305840990866,3957.6025601725755
850,2232.259951756396,265.2938438650817,3961.4018390838573
860,2234.0713275408825,264.7608813746451,3965.174377496547
870,2235.6742936612645,264.23162654494774,3968.904538047859
880,2237.4194376207815,263.7810832257121,3972.0868996667186
890,2238.374807663693,263.5183564639133,3973.9908156808083
900,2239.3237548962425,263.25739597496215,3975.8819319513873
910,2240.4445463460524,262.99817044423713,3977.7604754078097
920,2241.8042497564866,262.7406494494055,3979.6266665132052
930,2243.1997735226378,262.48480342560924,3981.480719516814
940,2244.5863178493973,262.2306036323719,3983.322842693796
950,2245.9640351782555,261.9780221220789,3985.1532385735622
960,2247.3330737893602,261.72703171004736,3986.9721041568882
970,2248.693577957194,261.4776059459448,3988.7796311227276
980,2250.0456880988186,261.2297190866449,3990.5760060251664
990,2250.7142857142844,261.1071428571457,3991.4642857142885
1000,2250.7142857142862,261.1071428571422,3991.464285714283
