return_period,median,LB,RB
10,-27.771235248556458,-91.28705611389705,-5.360499865502537
20,-135.378140944832,-263.7787828029647,-49.34196636762339
30,-266.3624922690907,-442.62458844801085,-120.53972095714433
40,-351.4924760776421,-569.5018989867392,-156.6200892296843
50,-402.795818061143,-649.4045174765652,-169.2277896331793
60,-408.1616068653814,-685.7118146961021,-125.99168425834327
70,-386.5795904496707,-712.4170597653183,-57.30193484336137
80,-324.4148593109931,-696.7458204420682,55.4049429695679
90,-238.89706110090992,-707.9998213035542,176.60769592334722
100,-134.14467197371073,-708.8101296414185,320.97660452556573
110,-21.790977568757285,-728.8638241033588,475.4755968731267
120,82.62981990960691,-748.0157425316702,608.355598881948
130,183.04666408506114,-774.8362690431737,738.4015996299702
140,282.6626385087566,-768.0488413249327,866.757454256072
150,374.3699348917585,-769.4345480269602,978.8862217597481
160,459.3615670934512,-779.5010050990082,1081.431401506096
170,538.5570310861451,-781.4192691156105,1178.427291380096
180,612.3936388566597,-781.791877880255,1278.7041349828057
190,679.0167879880269,-781.3397883769784,1369.2696841054762
200,741.6788731157797,-789.6792839838403,1451.4042349566666
210,803.8403309529906,-796.6096546877584,1533.428541310397
220,860.444021054296,-791.6933703295994,1608.725847380622
230,913.2404355568387,-785.9705438325143,1674.1610515333632
240,960.8999723212796,-781.7758398475704,1737.0509886052878
250,1005.849607536687,-778.1724938864824,1797.8358238014464
260,1044.10312788139,-775.0466600422335,1854.464324516247
270,1081.6389603206376,-779.2724020637269,1909.4801456659807
280,1115.9501242472684,-789.7967526071637,1958.7206974238659
290,1149.0199764531048,-800.7887826065289,2005.124056936324
300,1179.7135414929276,-812.2797050293448,2048.2023282664254
310,1207.9255643967354,-824.2394559331033,2086.835520272339
320,1234.2276786732214,-836.5895529434932,2123.1752092246243
330,1257.4070121121,-847.5974985096557,2155.7985730019313
340,1277.3399716876338,-859.0679636333928,2186.381225359074
350,1296.0876124767105,-870.845192469013,2215.283048942698
360,1314.7058076593912,-883.1630043679288,2242.7243748432534
370,1331.863848224527,-896.004434154957,2267.687451116978
380,1347.1048513377195,-909.3060559132368,2291.932926802194
390,1359.7110004052179,-921.9332009129764,2313.4276929136063
400,1371.376754087601,-926.3910517274247,2333.4151011240256
410,1380.292455831111,-929.8987903852212,2351.9623271752807
420,1389.8240045379762,-934.1965490230234,2369.1328394254133
430,1398.5425230668038,-939.2689391322006,2384.9866838550074
440,1406.1802906198777,-945.0998572028014,2399.5804330930564
450,1411.8240271440714,-951.1178707298071,2412.9277972027367
460,1416.507793902032,-956.8109658497754,2425.5248512840953
470,1421.5157058946043,-962.4163708906959,2436.668605619931
480,1426.525226511389,-972.1974275313476,2445.6770783064417
490,1430.304679640938,-982.6998303308615,2454.5558639180126
500,1435.3347133865018,-993.0742749310886,2464.196720075728
510,1440.3046824537741,-1003.324836132335,2475.469947988895
520,1445.198563258553,-1013.0302807412457,2486.4277222426417
530,1449.960563327496,-1020.8268886972603,2496.48394591765
540,1454.6689034201945,-1028.5356415941308,2506.426852348697
550,1458.9843904368236,-1036.159130826426,2516.2597839692758
560,1463.0482380398225,-1043.699825823106,2525.9859258991246
570,1467.0687353023914,-1051.1600818547574,2535.6083160141984
580,1468.4442693882038,-1058.5421472133703,2545.1156313229094
590,1469.7567285399819,-1065.8481698249227,2551.8258271533064
600,1473.1221406466084,-1072.806914928991,2559.3383790068337
610,1476.8093311478833,-1078.9379409950673,2567.2015271223445
620,1480.4604003827171,-1085.0089049553133,2574.98764453709
630,1484.0762768445975,-1091.0213507000633,2582.6987113174246
640,1487.2603275469482,-1096.9767586484274,2589.5614556750534
650,1489.802206952566,-1102.876549305141,2595.358103138467
660,1492.5169778040117,-1108.7220865665552,2601.1014456925122
670,1494.4603498342922,-1114.6417584341848,2606.7927707932836
680,1497.5114633188814,-1121.3220911162273,2612.433316116767
690,1499.5018979060587,-1126.8142067917192,2618.79966329714
700,1501.6442446729889,-1131.6545363291482,2625.525630584274
710,1503.9127145028615,-1136.453523365775,2630.314412986507
720,1506.1620807066374,-1141.2120963520488,2634.7161899542457
730,1508.3927663658642,-1145.9311503242332,2639.0407731388705
740,1510.6051795436351,-1150.6115485468654,2643.309204769774
750,1512.7997140127982,-1155.2541240531832,2647.5431428232146
760,1515.0712634761494,-1159.8596810917247,2651.743320758126
770,1517.1428571428578,-1164.4289964853929,2655.910447021784
780,1519.0599486025221,-1168.387588573046,2659.6104233878787
790,1520.2633172818678,-1171.1596250397513,2662.4081268588943
800,1520.9911079693666,-1173.9106738384862,2665.1846483316954
810,1521.956231347399,-1176.6411534353467,2667.940410147051
820,1522.7449474892583,-1179.3514689046444,2670.6758211299543
830,1523.4138647514665,-1182.0420125150622,2673.391277181208
840,1523.7697819348787,-1184.7131642835063,2676.0871618363985
850,1524.0609797333746,-1187.3652924985834,2678.7638467942097
860,1524.4093212303906,-1189.9987542160284,2681.4216924164384
870,1524.7552394197355,-1192.6138957274795,2684.0610482011475
880,1525.1580459873876,-1194.8159380362208,2686.289113837298
890,1525.7039717261932,-1196.03062280506,2687.5345069289447
900,1526.2462272876473,-1197.2371414293013,2688.771527428513
910,1526.7848777411045,-1198.4356386882394,2690.0003237754627
920,1527.3199863017899,-1199.929888076096,2691.2210401795255
930,1527.85161440318,-1201.5015136508316,2692.4338167858323
940,1528.3798217657586,-1203.0630266664457,2693.6387898317053
950,1528.9046664624639,-1204.6145988010912,2694.8360917960667
960,1529.426204980984,-1206.156397046454,2696.0258515414394
970,1529.9444922830126,-1207.611222605434,2697.2081944491983
980,1530.4595818607777,-1208.2776197466624,2698.3832425484597
990,1530.7142857142844,-1208.6071428571454,2698.964285714288
1000,1530.7142857142853,-1208.607142857142,2698.964285714288
