return_period,median,LB,RB
10,-6.190648219730393,-57.879522912874,0.0
20,-50.786856447471365,-177.37372851684708,0.0
30,-118.71857386069885,-311.9535646303865,4.0956933699305385
40,-53.01048764123547,-284.8624355425942,155.27492175959293
50,58.77583367567769,-203.70945728861886,363.76188792263645
60,180.22022492091173,-120.80456968149679,565.6487135142471
70,281.5576216789723,-47.853886597578594,757.2267203685931
80,384.8031219773385,-4.299436553142632,943.7830128921721
90,476.30500989071186,32.790686564156886,1099.4187040611466
100,565.3110517600767,68.51456141765618,1257.848887144749
110,661.2678216512941,97.25038819714374,1407.697954853135
120,746.0257346791386,134.0241598807611,1540.7380169070482
130,827.3146595371682,176.57580710120192,1666.7457829945286
140,910.3070223579045,211.7916237522254,1787.453079184863
150,977.5610969390291,246.4375213315343,1895.228265587114
160,1046.384805067129,271.47500641754596,1991.645248300586
170,1111.259683970286,294.94029487621583,2096.4299571698284
180,1171.9758214820863,319.5564364104557,2187.612441120178
190,1221.2741461383187,341.79896401634414,2267.534006456362
200,1271.7089992248957,362.79006141927357,2341.698211658533
210,1320.683457471112,382.7112248544331,2421.306547841863
220,1364.7835800477696,401.5090579320477,2493.983645755593
230,1407.8282518909423,418.12301803296947,2558.2104598324668
240,1447.7729955055852,439.5904440010855,2618.7224520134573
250,1486.7154030184765,461.98315911258493,2676.566381589622
260,1524.045104350119,483.2379897392593,2732.143663948538
270,1557.268442411958,498.7450741505422,2784.0722974378464
280,1587.8814333074497,509.36335326078733,2831.9416544957917
290,1619.470906445903,519.3179113533483,2879.6011872951217
300,1647.5315976614825,528.6007880750471,2927.6932171256026
310,1670.6967312180404,537.6330442008516,2969.8888249267397
320,1696.486060006996,545.1964935256224,3010.1871071616615
330,1719.318953904476,549.5498506984486,3044.1721786627127
340,1740.8749500871882,554.8405861298456,3076.6836516750755
350,1761.2156523510748,559.681868092986,3107.7924872452686
360,1778.899312242489,564.0754464145034,3137.5653106327727
370,1796.615159155721,568.0350294346986,3167.476179738278
380,1811.22332055885,571.5136986010853,3196.101870012347
390,1823.5801374170906,573.896820790143,3222.0294758388463
400,1838.3519603411005,575.8793149651492,3246.848675543397
410,1850.4712091585461,577.4644479634035,3270.6081810773812
420,1861.5477846926897,578.6566950745955,3293.3539297032567
430,1872.7122389081078,581.8395274299392,3315.1293030314646
440,1883.1006904458445,584.4594474066553,3335.975142678937
450,1892.078915430252,586.7296108576302,3354.7116445750535
460,1899.7616908530463,588.9681826653014,3371.399179868613
470,1906.390275644957,591.1777109292716,3387.8702087454685
480,1914.2088889816732,593.3591792738298,3404.1320636776354
490,1920.47316198947,595.5135183096227,3420.191681944497
500,1926.470509916876,597.6416095096711,3436.055634526663
510,1932.3962422663117,599.7442887304442,3451.7301523542064
520,1938.1094031140965,601.8223494168524,3466.576786217546
530,1943.1515208341552,603.8765455250286,3478.5284726650943
540,1949.3515181279017,605.707430070529,3490.345483093827
550,1955.8323563636186,606.9856198819343,3502.0317899409365
560,1959.8058962421073,608.2499280250904,3513.591178678359
570,1965.1260889013938,609.5007493956664,3525.0272597807725
580,1971.1378307503192,610.738460952798,3536.3434797317013
590,1977.0876455717043,611.96342282779,3547.5431311601897
600,1981.9296001979355,613.0848832068532,3558.264977631032
610,1983.8160697567218,613.9423693699373,3567.8688226576032
620,1987.3201600024604,614.7914552385064,3577.3785843855494
630,1992.3655690190371,615.6323567412674,3586.796681216483
640,1997.3631141505284,616.4652809298514,3596.1254321286087
650,2002.31398742889,617.2904264762401,3605.367062248213
660,2007.2193333825235,618.1079841351802,3614.5237080283296
670,2012.080251618061,618.918137174438,3623.5974220679946
680,2016.8977992252985,619.7210617756464,3632.5901776015107
690,2019.605283387682,620.7236983713774,3639.953090460931
700,2021.1832229271877,621.828256049037,3646.422642572892
710,2022.7476848788192,622.439517226403,3652.8369365745875
720,2024.2989719159104,622.2843885226939,3659.1972134266543
730,2025.8373758188245,622.1305481324034,3665.504669428592
740,2027.9132773371402,621.9779679132462,3671.760458414021
750,2031.2429158420782,621.8266207084744,3677.9656938095904
760,2034.5460048346813,621.6764802997241,3684.55838651249
770,2037.1861294938572,621.5275213626828,3691.261538679235
780,2039.1088006056289,621.3797194254639,3697.082141801344
790,2040.722155162961,621.2330508293398,3701.1888624927415
800,2042.3232946754542,621.0874926918405,3705.2644903427263
810,2043.9124626948014,620.9430228719011,3709.3096453010494
820,2045.4898949785147,620.7996199370173,3713.324927477781
830,2047.055819831141,620.6572631322324,3717.424963175841
840,2049.284646256401,620.5159323508378,3721.664886617815
850,2051.810482651712,620.3756081066495,3725.874613943335
860,2054.3185414302297,620.2362715078452,3730.0547119075236
870,2056.5554317502174,620.0979042321069,3734.2057301796704
880,2057.300903130241,620.0790229936938,3737.498460614477
890,2058.1781867559584,620.3519858630989,3738.7267935267864
900,2059.194542215253,619.5592304970978,3740.0760812210574
910,2059.463867441982,618.7512548169179,3741.961357808148
920,2059.731421722323,617.9485919758845,3743.834237770552
930,2059.997235773022,617.1511498237996,3745.6949361254137
940,2061.3066972715387,616.3588387799336,3747.282322440129
950,2062.6188090133073,615.5715717348739,3748.8568565302485
960,2063.9226553095978,614.7892639570946,3750.421472085807
970,2065.2183735646795,614.0118330040495,3751.9763339918954
980,2066.506097509082,613.2391986374096,3753.5216027251827
990,2067.1428571428532,612.8571428571431,3754.2857142857138
1000,2067.142857142855,612.8571428571486,3754.28571428571
