return_period,median,LB,RB
10,-6.190648219730393,-57.90008724733909,0.0
20,-50.72531678424796,-177.3903229448727,0.0
30,-135.63061585966005,-326.7631688681874,-9.021675430913053
40,-233.27364047582762,-486.4338766148053,-20.84826724621274
50,-358.563065037686,-672.0242132720455,-64.30755364328483
60,-481.5492271669725,-836.2353200003663,-105.45703039500675
70,-619.4645461378157,-1018.3769595597254,-161.26572591411772
80,-748.5112087763523,-1193.107435351948,-213.17302283982164
90,-900.8474099029457,-1387.8305070271974,-293.9738228733414
100,-1042.8678485947269,-1571.126778817388,-357.6590771393815
110,-1165.1858046645063,-1721.2051077936321,-421.5318244122854
120,-1296.4031129657951,-1883.9695248270966,-510.9101798312651
130,-1422.8476887592756,-2041.5245476006924,-588.766770506745
140,-1524.5305401039577,-2173.033170761016,-658.2623644098962
150,-1647.0208105985564,-2318.3107176941317,-749.5883542060946
160,-1759.821150073045,-2457.7490023084874,-823.2308011833713
170,-1867.8611657334607,-2586.2579469397792,-903.6855014028196
180,-1971.0746342107414,-2706.113766367857,-972.6336647712649
190,-2082.054675965722,-2833.0894756888915,-1054.295240096184
200,-2190.8684711104024,-2956.105424390338,-1133.6583071350997
210,-2290.562569264749,-3071.947636879187,-1206.827843784647
220,-2381.8862954407787,-3187.848513945054,-1271.4182629040893
230,-2484.2278574055026,-3307.1601816889133,-1352.5199747911624
240,-2583.6704189029724,-3420.2717837086525,-1431.6911081493738
250,-2680.6517355969204,-3534.5218524864245,-1512.9778887946763
260,-2767.8424223403035,-3635.7692060549284,-1587.5615665265889
270,-2855.359840141503,-3735.554310512108,-1650.4870350444805
280,-2952.711048928947,-3842.9689593258213,-1723.8577286620105
290,-3043.8368136264226,-3948.045227466529,-1798.9390634872032
300,-3138.2344149425426,-4050.9655982479076,-1875.9709213001015
310,-3226.5791829197988,-4147.050504638154,-1946.5694119898194
320,-3300.538707135718,-4230.868917287139,-2009.0419650265799
330,-3389.7269173108025,-4335.6345059526,-2090.6355131662913
340,-3480.6514324023506,-4431.875014263637,-2170.7564395795084
350,-3569.9542156463804,-4526.765375459676,-2244.1494681060394
360,-3658.9232675644416,-4638.7018374455265,-2314.3864685319863
370,-3734.956088709988,-4725.189175738732,-2376.9863009428345
380,-3804.793712407677,-4803.595506029544,-2433.6369243775002
390,-3888.5059778294994,-4896.460898192027,-2506.591582178767
400,-3972.1388949781476,-4985.885886168235,-2578.9943827789175
410,-4054.0695524713096,-5073.823374620749,-2650.2039631771436
420,-4136.516535856931,-5160.48162757736,-2717.7637415726167
430,-4213.890519299047,-5245.287257652831,-2783.6846834808543
440,-4280.497098995455,-5319.733638073592,-2837.2636565474436
450,-4354.404223850826,-5405.772248252874,-2909.3682674567453
460,-4433.448116805819,-5504.696378545445,-2985.869323181768
470,-4512.766793882138,-5591.285227878543,-3054.7139203660695
480,-4590.2883491487955,-5674.007741276312,-3123.5944146515203
490,-4670.504294311082,-5759.260063745581,-3189.810962651817
500,-4745.180949149086,-5847.578230531032,-3255.6727920297067
510,-4809.060652463162,-5916.9322347780435,-3311.5833028195725
520,-4876.273099075997,-5987.192239696483,-3369.1060935549276
530,-4948.908531831409,-6068.382708793059,-3437.6228710174996
540,-5023.451147079593,-6149.196136164956,-3505.367576115981
550,-5095.943646891441,-6227.124629988004,-3572.3629820879223
560,-5170.468242733143,-6306.310627471172,-3638.630790334193
570,-5242.7478490757185,-6380.998064952103,-3704.1916990290993
580,-5312.521843359267,-6453.355487440548,-3767.273311858963
590,-5372.18766406736,-6525.450490220008,-3821.700992883117
600,-5435.477741918866,-6609.459117499719,-3878.904763864591
610,-5509.437279490128,-6693.219374723607,-3944.7725634821436
620,-5582.875305200305,-6771.494587561276,-4009.9950944760094
630,-5652.092460347962,-6846.671181908267,-4074.588943410728
640,-5722.504198670089,-6932.486388755526,-4138.570014956662
650,-5789.692607467105,-7016.871853089289,-4201.953570102879
660,-5855.680202361191,-7089.858601969476,-4264.754261674298
670,-5915.326518740942,-7162.31433491343,-4320.591194137649
680,-5973.701122297447,-7230.647233099155,-4373.592247063322
690,-6036.501811870632,-7305.315317215197,-4433.976880155858
700,-6102.3807876449355,-7384.040788428632,-4498.03728061088
710,-6168.93620045256,-7466.539281747962,-4561.550524692225
720,-6238.881233279116,-7550.356030537583,-4624.5289001804695
730,-6305.109521299537,-7620.030991043873,-4686.984252629004
740,-6371.543789284352,-7691.5991670233825,-4748.928007101088
750,-6437.563406507758,-7766.625760108001,-4810.371188557596
760,-6496.881239854982,-7835.349099200582,-4866.294562827707
770,-6551.474690279716,-7897.794949784691,-4918.139720864072
780,-6609.264085706929,-7966.57502341248,-4973.293716050211
790,-6673.284927913975,-8040.008322775622,-5035.48486752064
800,-6739.641109274724,-8112.8823380025415,-5097.205156773806
810,-6802.953974230259,-8185.045013062533,-5158.463972173828
820,-6869.904200949026,-8256.674779036799,-5219.270401637772
830,-6931.40234061574,-8327.782003026437,-5279.633245786331
840,-6993.604684880787,-8396.01009496502,-5339.561030369102
850,-7057.26470822576,-8463.435894295444,-5399.062018009235
860,-7113.857242528318,-8532.42725009445,-5452.240841709312
870,-7167.682112790469,-8595.425116393777,-5502.616907623688
880,-7223.88288038397,-8663.937914967764,-5555.620260066682
890,-7286.459618194505,-8739.917129665966,-5616.463683656512
900,-7347.4462175083045,-8815.372835924538,-5676.931112067651
910,-7408.339229428193,-8890.177917647961,-5737.315577666871
920,-7469.408493916745,-8964.491119013552,-5798.154076588626
930,-7529.673355194523,-9038.32097159419,-5858.596869041122
940,-7588.436424281102,-9111.675769071935,-5915.87457438995
950,-7646.536958224301,-9184.563576327226,-5973.349986979693
960,-7703.324091270804,-9256.127391408701,-6030.705875671322
970,-7754.940049824603,-9319.200823388142,-6080.811300595181
980,-7806.388504882628,-9371.87191118467,-6130.607585525285
990,-7860.675485311894,-9425.866351192075,-6185.111123207993
1000,-7918.811482957744,-9483.06562106884,-6244.217114250014
