return_period,median,LB,RB
10,-6.190648219730393,-57.879522912874,0.0
20,-50.786856447471365,-177.37372851684708,0.0
30,-136.05459787460728,-326.75405493863053,-9.049423140476515
40,-233.49797229095662,-486.3964054169981,-20.859999965330413
50,-358.62562987258025,-672.0166531620337,-64.31907603887028
60,-482.14402407471647,-836.1291093156642,-105.45857168079883
70,-619.5270331166392,-1018.1269595597254,-161.2703928259741
80,-749.0234105322868,-1192.9288639233766,-213.2852177959232
90,-901.4187152724226,-1387.7019303185423,-294.28096221042824
100,-1042.9008222154473,-1571.0765673382284,-357.775054686943
110,-1163.043947217598,-1721.07175162712,-413.20751906944764
120,-1292.1782969507312,-1883.806888397112,-494.4619294653811
130,-1406.799627798639,-2039.2028477271808,-569.6767143738757
140,-1507.3558527970436,-2171.224290706251,-622.1731647830335
150,-1625.9544798849176,-2317.3620669315505,-694.5773164510153
160,-1743.1640844191775,-2457.0552010539086,-762.1722778844048
170,-1845.2399817894466,-2585.2536686234052,-827.8238450712937
180,-1945.1472597018312,-2704.365431997276,-891.6243864792448
190,-2053.8662234263593,-2829.8641714734995,-968.8812706693442
200,-2158.171790499533,-2952.165942465769,-1038.8999132177173
210,-2256.9764667923255,-3067.6158673757536,-1094.2210776734948
220,-2344.9950764194828,-3172.1148209840653,-1151.9856583326634
230,-2443.4993484934985,-3288.9526957469348,-1212.2090339948822
240,-2539.7084900783066,-3402.7743186481484,-1284.2556995546925
250,-2636.646702422935,-3513.7788089888627,-1354.5191801426972
260,-2720.598480511743,-3612.560232709928,-1406.9381218528351
270,-2806.1477305344197,-3713.2404459636814,-1455.8067959707878
280,-2896.1595668292725,-3815.99125195132,-1516.3982096188981
290,-2986.209195006189,-3919.5040456045563,-1575.7024143160643
300,-3074.950565449555,-4020.893020412279,-1636.4926682448013
310,-3158.5944252363615,-4115.394104473691,-1697.2583094768459
320,-3231.920607270455,-4200.120265090149,-1748.8774744989073
330,-3316.397778265623,-4298.51578185152,-1817.8788875189064
340,-3402.8849241367675,-4395.135430556207,-1885.6349449649776
350,-3486.3540820747658,-4490.06219397079,-1952.203839815204
360,-3570.9243205427338,-4582.01837405044,-2017.6394712555038
370,-3647.742954249224,-4666.904217160772,-2075.4005715054586
380,-3717.197743103372,-4745.683010391305,-2127.2249072556865
390,-3801.726890772024,-4836.1292210847405,-2194.94706998883
400,-3882.1998395284472,-4925.1926416516335,-2261.633860015286
410,-3960.479545437379,-5012.928250903754,-2327.3264430622694
420,-4041.131887334082,-5099.680225705555,-2392.063389491359
430,-4119.206985715084,-5183.997367754642,-2455.271075599624
440,-4185.455567532494,-5256.965134489992,-2507.3311727832966
450,-4258.249093461458,-5334.758454530758,-2565.700274677035
460,-4335.610057878519,-5418.603144054509,-2631.8398962673755
470,-4414.349610558116,-5501.360020850412,-2697.1214131573456
480,-4489.758581223303,-5583.317654255621,-2761.5738869738652
490,-4563.006108440431,-5665.519030083114,-2825.2248130315306
500,-4636.265251312303,-5745.141782074288,-2888.100234851094
510,-4699.931610983784,-5812.227836293145,-2940.7802657472357
520,-4765.208808086116,-5881.889827231589,-2995.0388036119575
