return_period,median,LB,RB,group
10,-49.69751706277852,-135.41231886482683,0.0,high
20,-131.20447491560228,-258.2726332208031,0.0,high
30,-210.6971656697992,-366.4130614774254,0.0,high
40,-251.8721811139754,-431.08912790107644,6.150376254073137,high
50,-262.49611638146223,-461.2507148488278,39.56155519653389,high
60,-239.7069891074644,-454.2906239198136,99.68157847932252,high
70,-207.30233622305752,-437.06257134260375,162.3890983260694,high
80,-170.69616532351802,-419.23224678431905,228.12330534226214,high
90,-135.7198218795761,-401.34318105832506,281.5956886098994,high
100,-101.51848900713594,-383.02248218021884,334.6459403406169,high
110,-66.4401171166769,-361.0630869280934,388.8765140633242,high
120,-36.60044086921266,-343.36213184432523,440.81603732725875,high
130,-9.321599192938038,-325.7758904307472,490.2925228388917,high
140,18.009866343899603,-305.5067122928599,539.0940892112066,high
150,44.91320704339955,-287.6686470504751,582.9874571233348,high
160,70.23997685568474,-271.67827065503434,624.7458878148739,high
170,94.64935865628127,-255.46244424794259,662.4728725110758,high
180,116.59302716605362,-239.83874139096656,695.7863438750064,high
190,137.16631964022076,-226.671650228893,726.3098333419148,high
200,155.93338718971222,-217.20212111678777,755.2908068594397,high
210,174.01918587346836,-205.290981373078,782.9575846558247,high
220,192.50772523204364,-192.5563504942022,808.9344282025738,high
230,206.84850279001625,-182.10819214422236,831.3335215346108,high
240,220.64541304004638,-172.34494906497457,852.6215362658115,high
250,233.49044602479012,-163.81054289016947,873.455405772366,high
260,246.96037709430516,-154.7077477768653,894.9388875038105,high
270,260.05865846601614,-146.88731317540032,916.2683586370072,high
280,270.673469568987,-139.8094429030043,935.712050990875,high
290,280.35743063241125,-135.45982376121174,954.3026165131212,high
300,288.9104125981971,-132.082324050215,972.075959702162,high
310,298.1085763935025,-128.2296035770296,989.0935248437556,high
320,306.25843348981334,-123.40888264373915,1005.352845447233,high
330,311.4690786048659,-118.94983466168648,1020.0726473924622,high
340,317.55177049509984,-114.95328136503437,1034.1398594812329,high
350,323.65889335505426,-111.40387316044868,1047.5788533339855,high
360,329.43968310989703,-108.28629565206117,1060.4132924745609,high
370,334.3783858192787,-105.57675198627155,1072.6743054790384,high
380,338.38483873942096,-103.31042517328612,1084.361637744275,high
390,343.4533838589841,-102.08277081339746,1095.282194151121,high
400,347.8840415668815,-101.2138701092449,1102.6177375992797,high
410,351.7551453476881,-100.69161126614335,1109.0421481958733,high
420,354.51224651612665,-100.50413765130133,1115.043714024594,high
430,356.13084815224784,-102.33654582969439,1122.4735903031992,high
440,358.97371069994733,-104.46177754807012,1130.1830427635023,high
450,361.66144114365216,-107.09882000066226,1137.2393874299855,high
460,362.9076154972154,-110.1514179202172,1143.751596325034,high
470,364.7209356751973,-113.16441100744619,1150.1793149111245,high
480,365.5985133701406,-116.13914056820926,1156.5254046407504,high
490,367.479821839921,-119.07687561702454,1162.7925727448896,high
500,369.8102138361078,-121.8243350610782,1168.9833835086615,high
510,371.5816880374914,-122.39779303037714,1175.1002685145327,high
520,373.1793248475565,-122.92873885501189,1180.9307479723066,high
530,374.86003075424287,-123.30222905649856,1185.7861205916215,high
540,376.52179784578357,-123.6715106323963,1190.5867810782952,high
550,377.5754023140453,-124.0367077213677,1195.3343432349338,high
560,379.02032590622457,-124.39793861941232,1200.0303449095127,high
570,380.4498360440257,-124.7553161538635,1204.6762528573663,high
580,381.3437986397521,-125.10894802732854,1209.2734672124325,high
590,382.72946856723684,-125.45893713447002,1213.8233256052572,high
600,383.4492677663893,-125.66873764434422,1218.2360108214616,high
610,385.0275958827351,-126.67321261386587,1222.3519444042818,high
620,385.95204266732253,-128.54120152471205,1226.4275565733951,high
630,386.82437126793593,-130.39118483078798,1230.4638837866564,high
640,387.21627614541376,-132.22361804566933,1234.4619198918513,high
650,388.3742558857466,-134.0389382477342,1238.4226185145399,high
660,388.8647904811105,-135.83756509740212,1242.3468952774483,high
670,389.35088230466226,-137.61990178376251,1246.2356298658779,high
680,390.8706949798625,-139.38633590642073,1250.089667951671,high
690,391.42857142857156,-140.6203128897532,1252.8759681713273,high
700,391.82825604903246,-141.56707661345533,1255.0850835266328,high
710,392.92337941517144,-142.50575378443497,1257.2753302589172,high
720,394.00928034113804,-143.43652600668702,1259.4471321108422,high
730,394.9876909895456,-144.35956834843637,1261.600897574921,high
740,395.38521009713986,-145.27504966337528,1263.7370206431124,high
750,397.05002934960794,-146.18313289199614,1265.855881509894,high
760,398.13449262746235,-147.0839753445216,1267.9578472324574,high
770,399.0105006588774,-147.97772896675542,1270.0432723510003,high
780,399.95114799689145,-148.81568858697347,1271.9170914596625,high
790,399.8044794007701,-149.549031567582,1273.3837774208796,high
800,399.6589212632698,-150.27682225507942,1274.8393587958717,high
810,399.5144514433305,-150.99917135478017,1276.2840569952705,high
820,399.6586631090704,-151.08723453764196,1277.7180863441044,high
830,400.22809032820805,-151.65666175677688,1279.1416543919468,high
840,400.79341345380544,-152.22198488237518,1280.5549622059389,high
850,401.35471043053985,-152.48153475049,1281.9582046477772,high
860,401.42857142857247,-152.62087134929877,1283.351570635843,high
870,401.4285714285743,-152.7592386250353,1284.7352433932238,high
880,401.50759442226536,-153.01518884452886,1286.0698891859065,high
890,401.78055729166863,-153.5611145833345,1287.2982220982176,high
900,402.05168507239523,-153.66260064188916,1288.3890844305033,high
910,401.9647039865913,-153.39327541516283,1288.9277348839587,high
920,401.7399897263431,-153.12572113481926,1289.4628434446486,high
930,402.1387108023873,-152.85990708412373,1289.9944715460388,high
940,401.7508479613971,-152.59580340283537,1290.5226789086146,high
950,401.3572144388645,-152.33338105448183,1291.0475236053226,high
960,402.0315730024322,-152.07261179522266,1291.569062123839,high
970,402.93857578098687,-151.81346814420885,1292.0873494258703,high
980,403.8399825420702,-151.55592335532674,1292.6024390036318,high
990,404.28571428571195,-151.42857142857338,1292.8571428571431,high
1000,404.28571428571104,-151.42857142857247,1292.8571428571431,high
10,-49.95730423958811,-135.41231886482683,0.0,low
20,-132.38688769128004,-258.2726332208031,0.0,low
30,-211.3934023929474,-366.4130614774254,2.759754754076848,low
40,-253.14946982166438,-431.08912790107644,31.88704895434132,low
50,-264.74621194142026,-461.2507148488278,71.09644297472508,low
60,-242.05451553061528,-454.2906239198136,142.31585790015708,low
70,-209.02610821769213,-437.06257134260375,222.43110062148963,low
80,-172.26707428678424,-419.23224678431905,291.25439766461744,low
90,-140.77403228121273,-401.34318105832506,351.6041379373663,low
100,-107.58299224429857,-383.02248218021884,412.4955085592909,low
110,-73.05246954044878,-361.0630869280934,472.1037412339542,low
120,-42.57811938562611,-343.36213184432523,525.6224956322892,low
130,-14.327140512341202,-325.7758904307472,577.3583960187249,low
140,14.108218782349923,-302.61782034175735,628.1424417529869,low
150,40.68374242181744,-287.6686470504751,673.31535868997,low
160,65.39341285290811,-271.67827065503434,716.6046594745563,low
170,88.9445980601663,-255.46244424794259,758.3012014940518,low
180,110.66212474990698,-239.83874139096656,797.1076572316714,low
190,131.99075053615206,-226.671650228893,832.4658598053306,low
200,151.32479948514265,-217.20212111678777,866.2639073467607,low
210,168.58512021431807,-205.290981373078,898.6824206275497,low
220,187.43298107598594,-192.5563504942022,928.3900327279316,low
230,202.90465870071466,-182.10819214422236,951.4193356420594,low
240,216.7633562253411,-172.34494906497457,971.3812109494462,low
250,230.53729166139715,-163.81054289016947,990.442091432513,low
260,243.85141790536682,-154.7077477768653,1008.716541359413,low
270,255.91136629088123,-146.88731317540032,1028.9635692929073,low
280,266.08299242485054,-139.8094429030043,1050.7385067642765,low
290,276.55312998439786,-135.45982376121174,1071.564596538328,low
300,286.3582352221115,-132.082324050215,1092.1869829728355,low
310,294.5615399561634,-128.2296035770296,1112.1304621596407,low
320,301.8997302538219,-123.40888264373915,1131.1694365729231,low
330,309.4450416371833,-118.94983466168648,1146.9318919021323,low
340,316.0432970136767,-114.95328136503437,1161.9774076499161,low
350,322.5930651409949,-111.40387316044868,1176.3379520372882,low
360,328.2130451536609,-108.28629565206117,1190.043838113199,low
370,333.3629843411686,-105.57675198627155,1203.12914695589,low
380,338.0508363209592,-103.31042517328612,1215.322458804419,low
390,342.1830809913545,-102.08277081339746,1226.7962266292748,low
400,345.7201469204351,-101.2138701092449,1237.4869226124433,low
410,349.4284174372892,-100.69161126614335,1247.6663767106675,low
420,352.8737066313947,-100.50413765130133,1257.3540391323659,low
430,355.93688369886513,-102.33654582969439,1266.568532904752,low
440,358.1148456403398,-104.46177754807012,1275.3276129449528,low
450,360.7384182860678,-107.09882000066226,1283.3228822873043,low
460,362.36647050983083,-110.1514179202172,1290.649117294236,low
470,363.97340015635245,-113.16441100744619,1297.8803007035863,low
480,365.5599225887586,-116.13914056820926,1305.0196516494157,low
490,367.1267146147934,-119.07687561702454,1312.0702157665723,low
500,368.6744173057368,-121.8243350610782,1319.0348778758157,low
510,370.20363855720507,-122.39779303037714,1325.9163735074208,low
520,371.7149554200505,-122.92873885501189,1332.5025113966171,low
530,373.33814649516717,-123.30222905649856,1336.195289352309,low
540,375.28653489539147,-123.6715106323963,1338.9649011715446,low
550,377.91617818181476,-124.0367077213677,1341.7038793388351,low
560,379.67849945365924,-124.39793861941232,1344.4131110741687,low
570,381.3791568682609,-124.7553161538635,1347.0934425825462,low
580,382.25180517018543,-125.10894802732854,1349.7940321105698,low
590,383.391994256358,-125.45893713447002,1354.8688741641058,low
600,384.46790656548364,-125.66873764434422,1359.482389970267,low
610,385.1538954959515,-126.67321261386587,1362.9123346226138,low
620,386.72576761986875,-128.54120152471205,1366.3086780968779,low
630,387.85252784856766,-130.39118483078798,1369.6722841079263,low
640,388.6448475739853,-132.22361804566933,1373.0039808622582,low
650,389.6552579809313,-134.0389382477342,1376.304563047829,low
660,389.3282349173569,-135.83756509740212,1379.5747936835864,low
670,390.130336037897,-137.61990178376251,1382.8154058406094,low
680,391.09384555934594,-139.38633590642073,1386.0271042454378,low
690,391.5507822243826,-140.6203128897532,1388.3834829223624,low
700,391.95093029972213,-141.56707661345533,1390.2770103697658,low
710,392.2638226900517,-142.50575378443494,1392.1543647117269,low
720,392.8637716722369,-143.43652600668696,1394.0159091562327,low
730,393.6822096655105,-144.3595683484363,1395.8619938397296,low
740,395.05543163791845,-145.27504966337523,1397.6929564696093,low
750,396.3467585830458,-146.18313289199608,1399.5091229268492,low
760,396.6470394005537,-147.08397534452155,1401.3108078319,low
770,396.94495727463436,-147.9777289667554,1403.0983150763695,low
780,397.3382651552947,-148.76683658386625,1404.7742343168056,low
790,397.9249395397819,-149.35351096835163,1406.2409202780227,low
800,398.5071720897786,-149.9357435183483,1407.6965016530157,low
810,399.5425256847675,-150.51362279810925,1409.1411998524136,low
820,399.8293315545343,-150.51200533639437,1410.5752292012494,low
830,400.4561806564152,-149.6578645076897,1411.998797249089,low
840,401.58682690760725,-148.8098798192968,1413.4121050630802,low
850,402.48153475049185,-147.96793435419113,1414.8153475049212,low
860,402.6208713492979,-147.13191476135034,1416.2087134929843,low
870,402.75923862503623,-146.45752751811324,1417.5923862503678,low
880,402.9756773476829,-147.2613916333994,1418.7294745588151,low
890,403.3851216517869,-147.67083593750158,1419.2754002976199,low
900,404.2325828257817,-148.0775276085933,1419.8176558590767,low
910,405.44454634605154,-148.48151544868415,1420.356306312532,low
920,406.3371223098293,-148.88284686919903,1420.891414873221,low
930,407.13456446191503,-149.28156794524236,1421.4230429746085,low
940,407.9268755057774,-149.67772346717626,1421.9512503371861,low
950,408.1190237584733,-150.0713569897043,1422.4760950338923,low
960,408.249408388102,-150.46251087859397,1422.9976335524098,low
970,408.3789802136107,-150.8512263551165,1423.51592085444,low
980,408.5077526080504,-151.2375435384374,1424.0310104322052,low
990,408.57142857142935,-151.4285714285697,1424.2857142857129,low
1000,408.57142857143026,-151.42857142857244,1424.2857142857147,low
