return_period,median,LB,RB,group
10,-71.25624012363603,-176.71125474887478,0.0,0.5
20,-186.84406179223157,-339.83531504578366,0.0,0.5
30,-298.0707554178695,-489.11050402950485,-3.482777389502038,0.5
40,-356.87575444647825,-573.5927735920146,4.199120518430661,0.5
50,-374.30371126384154,-611.0903420250979,45.97318822248212,0.5
60,-345.297431658498,-603.0981506374992,128.5099411793668,0.5
70,-301.9721406243466,-576.8351700709859,208.88392423333488,0.5
80,-255.31939238184452,-547.7900003106009,291.30841495393065,0.5
90,-216.00549685449664,-519.021231939847,363.31765720800905,0.5
100,-175.0117328590868,-491.57922897154344,435.59143983005947,0.5
110,-129.94228676020794,-463.11370625981795,505.23647344198235,0.5
120,-89.80710106029119,-433.4516453472404,566.1770182656769,0.5
130,-49.86181650359731,-403.93512305479635,627.5075134402539,0.5
140,-14.073874433427136,-375.14752907219486,686.3194210040107,0.5
150,17.22926798169965,-351.2107558829398,735.0373643824651,0.5
160,48.893382676152214,-329.67374240781123,785.4712405834907,0.5
170,80.19732499272641,-306.7434206252997,833.9941707178135,0.5
180,109.80677458221567,-287.1078998791784,878.2043732732386,0.5
190,135.82886833497514,-268.75493106599424,919.372143375399,0.5
200,160.8439682230005,-251.8117811008574,955.7436630283564,0.5
210,184.46852029548336,-238.93765733632654,993.3089842816778,0.5
220,206.21319302187203,-226.69683548612602,1028.5781204325972,0.5
230,227.0878378098928,-215.1537943903204,1056.6121112994776,0.5
240,245.88566987490321,-204.49709320324837,1084.875113560119,0.5
250,263.8209137267495,-194.7010315673715,1109.8469392390045,0.5
260,280.77196526639455,-185.59149351252742,1133.687182945127,0.5
270,295.6370171089361,-176.99271683341473,1155.619862290001,0.5
280,308.92301886910946,-167.89228022760378,1175.4305007554537,0.5
290,321.24969169392944,-159.6200729747611,1194.210984776158,0.5
300,333.3962994689141,-152.14140351477772,1212.0060744294992,0.5
310,344.95976096317327,-145.3796139762344,1228.901696234475,0.5
320,355.0779119373642,-139.2698283198447,1244.9049991824972,0.5
330,363.83672322300026,-134.8106624314869,1260.5587320571162,0.5
340,371.8111940366907,-131.90356618941814,1278.8513053719043,0.5
350,379.29735014378684,-126.38877076401104,1296.2794240486123,0.5
360,385.2134959882824,-121.67079516798549,1312.8801638789473,0.5
370,392.2146381086145,-118.7344112122505,1327.7373680776145,0.5
380,397.75962788988,-116.45798177356572,1339.5226231752758,0.5
390,402.7100262370159,-114.6948290187929,1350.835152083465,0.5
400,407.4934311103211,-113.39524488509868,1361.517963987881,0.5
410,411.7619857627278,-112.54310863716273,1371.108221023314,0.5
420,415.50247872777345,-112.12270100514434,1378.7188317783489,0.5
430,418.3322065836546,-112.1187244195462,1385.773932251324,0.5
440,420.8051142955301,-112.51640689406668,1392.2949399724853,0.5
450,423.63959828540465,-112.81310571494942,1398.206447429763,0.5
460,425.51942218070144,-115.86570363450481,1403.701123684964,0.5
470,426.27241436388886,-116.14950710377161,1409.1245112419742,0.5
480,427.64489355954356,-119.84563687447461,1414.4790244513488,0.5
490,429.799232595341,-121.4124289005085,1419.766947539213,0.5
500,430.89451599932545,-122.8056484899889,1424.9904441211465,0.5
510,433.57065318939203,-122.04103786425638,1430.1515658448516,0.5
520,435.7500837132202,-121.39277342963759,1435.1448662601533,0.5
530,436.60445811299724,-121.20602832889472,1439.6267486779834,0.5
540,437.3430212647927,-122.43624768200243,1444.0581275887544,0.5
550,438.912204439197,-124.8100287603247,1448.3487233530013,0.5
560,440.224448667399,-127.15802959761365,1451.780416884425,0.5
570,440.93920373630044,-127.61245901100662,1455.1755034617026,0.5
580,441.6464674832314,-127.96609088447165,1460.5324930633678,0.5
590,442.3464456975098,-128.31607999161042,1465.5072456136422,0.5
600,442.94823899702806,-128.4803324315444,1469.34574576044,0.5
610,443.2912334622624,-128.5358746475572,1472.2611987149376,0.5
620,444.25548723899647,-130.74349790582846,1475.148090668059,0.5
630,446.10547054507606,-131.9836142053955,1478.0071557774536,0.5
640,447.9232199594444,-132.15019904311248,1480.8390980186314,0.5
650,449.4084819429536,-132.8075395048454,1483.6445928763706,0.5
660,450.5016825560788,-134.11563175914762,1486.4242889167654,0.5
670,451.68924350436555,-135.41187662195716,1489.741890418356,0.5
680,452.6339922776597,-136.69655598388817,1493.1141737434264,0.5
690,452.87596817132635,-137.8665555142361,1495.6297255468435,0.5
700,455.0850835266356,-138.97111319188843,1497.6810469481998,0.5
710,456.79146807014604,-140.06623655802923,1499.714847485322,0.5
720,457.7222402924035,-141.15213748399492,1501.731520633537,0.5
730,458.64528263415104,-142.22902021603295,1503.7314457073235,0.5
740,459.12152789818083,-143.4072421838946,1505.7149885563613,0.5
750,460.468847177709,-144.35651218351904,1507.6825022183712,0.5
760,461.36968963023537,-145.40749504480118,1509.6343275321778,0.5
770,462.26344325246646,-146.45020760407166,1511.570793713685,0.5
780,462.7594388509242,-147.43596916151088,1513.150254875798,0.5
790,462.4661016586815,-148.3159807382435,1514.030266452527,0.5
800,463.1982215938733,-149.18932956323803,1514.9036152775225,0.5
810,463.8843884533635,-150.05614848287584,1515.770434197164,0.5
820,465.03161193242704,-150.91656609217713,1516.6308518064625,0.5
830,464.9429774179489,-151.7707069208827,1517.484992635169,0.5
840,464.8016466365516,-152.61869160927742,1518.3329773235628,0.5
850,464.9630695009837,-153.46063707438586,1519.476669897289,0.5
860,465.23080031709105,-154.29665666721664,1520.7306992865424,0.5
870,465.12686032164856,-155.12686032164672,1521.9760047681884,0.5
