return_period,median,LB,RB
10,-44.24301852530239,-107.05746562203336,-20.1301516322861
20,-147.8286964038062,-293.516663769226,-55.63958687662932
30,-283.3537137720685,-498.67225807147577,-94.40648716841399
40,-324.5095165801765,-603.1341520705365,-46.6631204646431
50,-286.62189236113954,-615.3904029824167,64.28652115811354
60,-164.9594657957506,-523.2073278815793,261.3624677763426
70,-20.10460318075684,-422.1008910542191,475.6961244226467
80,124.57181405704227,-294.25038581562353,689.1512584856525
90,246.65612510629012,-207.63592806029556,872.7021382912391
100,368.3822626693741,-145.83183794274575,1054.745332258745
110,495.1257535337272,-55.84753124566484,1226.448763392151
120,609.523329544581,28.023125881491524,1390.9211320597428
130,720.6536722027076,112.87766991584704,1548.3072684099482
140,831.022551597594,179.86895237236968,1697.782085270737
150,928.3931052245075,238.50407073173213,1829.296358774391
160,1020.6533124731181,290.68547831906494,1944.0630418662063
170,1109.6804606703945,344.5463275136881,2065.4900830757774
180,1192.685251357801,393.4396274093692,2177.8775651012566
190,1266.8550992323821,442.95340663491424,2279.1196857139357
200,1339.5688613923467,487.28424657952155,2382.184792410192
210,1406.3711188502757,533.4081807553121,2475.331105569231
220,1469.3584927675192,574.9047448449628,2557.6906745344104
230,1524.8767394460956,612.3851188535837,2631.596809331004
240,1576.7123648163742,655.4907497201848,2705.506120729974
250,1629.4412092465354,686.4111259399097,2775.790268359012
260,1677.814373003088,715.1960471993052,2841.7869877295107
270,1724.9910097514176,741.3300457474688,2903.0186652401917
280,1765.629224662528,764.4632999261412,2959.465545023696
290,1803.5318763325577,789.0765581958785,3013.1403515428738
300,1838.080465049161,813.5851656279183,3064.189956295788
310,1873.356951542879,836.074037345189,3112.837181713555
320,1904.273737531491,852.8550055718933,3159.0534699961217
330,1933.4714238694305,868.7910119274366,3199.4649700578975
340,1959.4668029392333,881.2251967105867,3237.82670649809
350,1984.4753195430048,894.3809140507256,3274.2389543733634
360,2007.0551844724305,906.6685420427812,3309.5430012756815
370,2028.0841274247887,916.6662311691698,3342.318342123297
380,2045.8635373932075,925.3072378370471,3374.8562671990503
390,2062.1866545731973,932.3969606720875,3402.511682640851
400,2079.1341688136445,938.461921964461,3428.6290635617434
410,2092.6485085526283,943.5425351377971,3453.278439790577
420,2103.305870928776,948.596381596637,3476.5257553524225
430,2115.509576271743,953.7151719744134,3498.433201792336
440,2126.92973097665,956.1150831030282,3519.0592333295635
450,2136.272327430206,957.5120662858881,3537.5687874321975
460,2143.8020689651094,958.3260923977687,3554.256322725758
470,2151.418479470456,959.1295572210347,3570.7273516026125
480,2159.26677515375,960.3862640725456,3587.1825167004154
490,2168.4907159311133,963.7156971278637,3608.53005805514
500,2176.2292293858263,967.0045653461184,3629.617507219239
510,2185.3544290200225,970.203638557201,3650.4531467704874
520,2193.8236888283864,971.7507534189863,3670.2572830501904
530,2200.014439485498,973.4314593256713,3686.504106814824
540,2208.3232749432027,975.0932264172116,3702.5678553663856
550,2215.517881841777,976.7366133175838,3716.999055962184
560,2222.02003800658,978.3621523587899,3729.642137393743
570,2228.452833626683,979.9703512638152,3742.1503510995044
580,2234.0797463962826,981.5616946944174,3754.0069017726983
590,2240.7349884078812,983.1366456765427,3765.731536861893
600,2246.9440836027206,984.7867430550759,3776.6542139226913
610,2251.66525457273,986.6732126138704,3785.5720700187994
620,2257.4390384789785,988.5412015247111,3794.4025630518845
630,2263.157168697766,990.3911848307907,3803.147938680615
640,2268.8210531801215,990.7216276145482,3811.810350241869
650,2274.4320428956,990.8866567238183,3820.489829905451
660,2279.4897524203043,991.0501682556023,3831.11807947166
670,2283.3784870087347,991.2121988634572,3841.650068981986
680,2287.2325250945287,991.3727837836996,3852.088088797678
690,2290.4323672406863,991.8421133550728,3861.400487203684
700,2293.27265841179,992.4732891708736,3870.079154670955
710,2296.330621019113,993.0990739515291,3878.683695404936
720,2299.7434525007193,993.719588766362,3885.4776246602887
730,2303.127941087123,994.3349503275276,3891.169719101068
740,2306.484705908564,994.9452712041566,3896.815187209866
750,2309.9779701045554,995.5506600232347,3902.4150337863557
760,2313.1174334061034,996.1512216582524,3907.970228910268
770,2316.394530020958,996.7470574064101,3913.4817095807102
780,2319.206504611848,997.338265155293,3918.4618612268023
790,2321.113196361428,997.924939539782,3922.421913322085
800,2323.0054521489255,998.5071720897796,3926.351983034572
810,2324.883559808135,999.0850513695368,3930.2526681729432
820,2326.7477979616197,999.6586631090722,3934.124547414802
830,2328.5984364238175,1000.228090328208,3937.9681811439696
840,2330.4357365820033,1000.7934134538082,3941.784112241745
850,2331.958204647781,1001.354710430538,3945.5728668347147
860,2333.351570635841,1001.912056825764,3949.334955002487
870,2334.7352433932247,1002.465525928721,3953.0708714474167
880,2336.030377689058,1003.0547003413776,3956.3464696638293
890,2337.1222291666672,1003.7371075148876,3958.530172619059
900,2338.2067402895773,1004.4149269667068,3960.699194864881
910,2338.927734883957,1005.0882400335213,3962.8537966787007
920,2339.462843444646,1005.757125734388,3964.9942309214493
930,2339.9944715460406,1006.4216608611205,3967.12074332701
940,2340.5226789086155,1007.0819200643455,3969.233572777317
950,2341.1188805950333,1007.7379759352261,3971.3329515641453
960,2342.031573002434,1008.3898990833768,3973.4191056382115
970,2342.6646944993226,1009.0377582109104,3975.4922548463364
980,2342.7934668937596,1009.681620183117,3977.5526131573824
990,2342.857142857145,1010.0000000000036,3978.571428571431
1000,2342.857142857145,1010.0000000000036,3978.5714285714203
