return_period,median,LB,RB
10,-15.195227448429149,-72.0788135022393,0.0
20,-91.85722096666454,-214.52761672966645,-15.393428223735688
30,-201.66627075926397,-384.84748894101114,-55.19580928756805
40,-324.9078800719353,-552.7701842126905,-105.6459907174261
50,-473.7080061353426,-734.2418865676531,-191.8706839442492
60,-618.6239716963573,-914.6632509894619,-277.4343778808694
70,-775.3330881436214,-1094.8046944413752,-381.89055584091693
80,-922.3731330379109,-1270.2106537876002,-479.4036714269113
90,-1093.1323673766701,-1466.8447522608417,-588.5647404654701
100,-1248.817956641247,-1645.7866234693242,-690.463014216496
110,-1378.7904636436865,-1804.8727295882488,-778.7441406361604
120,-1522.2494138159898,-1973.0263210332466,-888.4855176911377
130,-1663.0927754562151,-2134.6098650410086,-994.7322315592554
140,-1776.7531441970991,-2263.1184285488616,-1078.6414322209198
150,-1908.356889127475,-2415.328411542525,-1177.7257207691018
160,-2035.5509576928434,-2558.5500313468992,-1265.4319264704363
170,-2151.818980241757,-2685.474888595483,-1341.6367145251875
180,-2259.0958984090908,-2809.6857338399964,-1419.7196417848727
190,-2378.2514537238944,-2941.4768892231045,-1509.7703708321321
200,-2491.613669473324,-3069.158113424208,-1591.7302017516724
210,-2597.7053624894115,-3188.0332748166957,-1666.5854797188854
220,-2692.4920376605523,-3293.924721944659,-1734.238252271684
230,-2799.815228874157,-3411.3840747647773,-1821.8666583438367
240,-2906.464138070941,-3526.0631754533556,-1897.6971033897312
250,-3009.052189227506,-3640.019912877599,-1983.6821951575357
260,-3099.3506326131837,-3738.8397661261024,-2054.4009841063544
270,-3190.035156340336,-3836.573633650861,-2123.6507505581317
280,-3290.130858483873,-3944.936479389953,-2206.8262365659925
290,-3388.2523608010047,-4052.223176978463,-2288.2347357411936
300,-3484.5162057299144,-4157.308624826048,-2367.9729398868485
310,-3574.025393607194,-4255.248831174957,-2442.6329067291135
320,-3654.1826899918424,-4342.9543552878,-2510.330557374443
330,-3747.73459531187,-4442.844487493646,-2591.5379965243324
340,-3837.548915191144,-4540.931776431822,-2671.2797825438984
350,-3925.329279739117,-4637.300465366626,-2749.624402475932
360,-4013.76610355621,-4732.028581639406,-2826.6352900193906
370,-4091.987087280874,-4819.481642234846,-2895.2390433980413
380,-4167.089350365326,-4899.1337161667925,-2956.2337919395814
390,-4254.610683598525,-4989.804917434092,-3033.4055587750254
400,-4338.965124658134,-5079.340835513285,-3109.3974822935434
410,-4423.776753773032,-5167.378489029142,-3183.6757151901647
420,-4506.582709471659,-5254.835717366473,-3255.7251406178866
430,-4586.6932224441825,-5340.128487805462,-3326.1297213627345
440,-4654.888988957514,-5414.559791409429,-3385.089349498462
450,-4729.933904993595,-5493.519894943249,-3449.7106064720697
460,-4809.0979443740325,-5578.178610578884,-3521.344904317609
470,-4887.2348984361815,-5661.738952198046,-3592.0498087645933
480,-4967.448649157084,-5743.852367619193,-3661.856795790484
490,-5043.767414982876,-5824.933854966495,-3730.795644936015
500,-5121.565644243477,-5905.027469222798,-3798.8945633375124
510,-5190.212790448193,-5975.54026025573,-3856.5540893718817
520,-5259.583893868172,-6045.661601020937,-3915.6170130440473
530,-5334.655424366819,-6126.661292844246,-3984.899445419664
540,-5409.370948017165,-6207.718598753847,-4054.8716828172387
550,-5484.236351256458,-6287.879359783234,-4124.076531177463
560,-5556.611109770203,-6368.697095018225,-4192.529786356903
570,-5627.729239125817,-6446.248019993939,-4258.784995010536
580,-5696.498264399734,-6521.061675481067,-4322.025021726022
590,-5761.309264494535,-6586.5096385163,-4376.448327886338
600,-5824.587848418436,-6653.98213722662,-4432.836365328903
610,-5895.073211024212,-6730.083603464196,-4497.4908220256875
620,-5964.8680694203085,-6803.27480533455,-4561.8107842472255
630,-6035.091946447444,-6875.760514872696,-4626.392019659402
640,-6105.557332801491,-6947.558579928473,-4692.018133666056
650,-6175.364646026383,-7018.686126027596,-4757.039602721867
660,-6244.530023972645,-7089.159596228156,-4821.463146246283
670,-6305.547232652319,-7152.8682874675305,-4878.173754449267
680,-6362.394294417778,-7213.890557159256,-4930.6850233682035
690,-6426.081950392891,-7280.682859607024,-4990.902088780924
700,-6494.760363969173,-7350.269993299163,-5054.966434084797
710,-6562.5807552742735,-7421.271661216309,-5120.124013536373
720,-6627.917308982582,-7496.974468626287,-5185.9995657068275
730,-6693.197549203342,-7572.048579088461,-5249.273094828506
740,-6757.43382146825,-7646.5077260368635,-5313.0516264359485
750,-6823.061775393204,-7720.365161964635,-5376.314758029817
760,-6884.419104154436,-7784.227100333104,-5433.689720847971
770,-6940.21951458076,-7840.086701722674,-5486.719102433799
780,-7000.223073700696,-7898.54125237348,-5543.049344320928
790,-7062.957478005612,-7964.078929372616,-5606.410177845426
800,-7126.382881131005,-8036.564716315743,-5669.291293245147
810,-7189.868570762888,-8098.831208709849,-5731.702255459192
820,-7251.388429827876,-8160.637873644604,-5793.65232332883
830,-7312.459499080234,-8222.90545409848,-5855.150462995542
840,-7375.800686415204,-8289.395972489188,-5916.205360559972
850,-7436.701408391067,-8351.419288418525,-5976.8254340474705
860,-7491.845078817719,-8407.885537390237,-6032.807910920231
870,-7543.594439943797,-8461.488844471605,-6084.280537494829
880,-7598.196429379072,-8516.275068768718,-6138.244016438253
890,-7659.476593559948,-8579.756223440756,-6198.841773445622
900,-7720.344780333458,-8641.166665775725,-6259.227300689735
910,-7780.498145364097,-8706.218319730464,-6319.69081408995
920,-7839.360087039807,-8772.302801099504,-6379.7567500272135
930,-7897.839178192793,-8831.978055480617,-6439.432004408329
940,-7955.941988076152,-8891.269331929772,-6498.723280857481
950,-8013.674904714009,-8955.512750307236,-6557.6370980629345
960,-8070.318930119816,-9023.360285369003,-6615.441862124326
970,-8119.944939289297,-9077.02693451942,-6666.104445897872
980,-8169.264766359971,-9127.119395956735,-6716.454452124071
990,-8224.266964233753,-9180.571614248667,-6771.577462802197
1000,-8283.547872117708,-9237.30827715906,-6831.367219680864
