return_period,median,LB,RB
10,-6.190648219730393,-57.879522912874,0.0
20,-50.786856447471365,-177.37372851684708,0.0
30,-136.05459787460728,-326.75405493863053,-9.049423140476515
40,-233.49797229095662,-486.3964054169981,-20.859999965330413
50,-358.62562987258025,-672.0166531620337,-64.31907603887028
60,-482.14402407471647,-836.1291093156642,-105.45857168079883
70,-619.5270331166392,-1018.1269595597254,-161.2703928259741
80,-749.0234105322868,-1192.9288639233766,-213.2852177959232
90,-901.4187152724226,-1387.7019303185423,-294.28096221042824
100,-1042.9008222154473,-1571.0765673382284,-357.775054686943
110,-1165.1988934803867,-1721.07175162712,-419.1765084409656
120,-1296.038452411538,-1883.806888397112,-503.2116124408783
130,-1419.1842642975275,-2041.4061806348195,-585.9955103297867
140,-1520.8563993332634,-2172.958549545615,-647.6705311901045
150,-1638.3013329791502,-2317.3620669315505,-729.7059259301569
160,-1752.7676714751435,-2457.0552010539086,-809.8138268488626
170,-1853.9182382264732,-2585.2536686234052,-881.0133889095307
180,-1954.6103704884008,-2704.365431997276,-952.244373831677
190,-2064.0966300240416,-2829.8641714734995,-1036.4928312516504
200,-2172.0991554979787,-2952.165942465769,-1112.880235152937
210,-2270.607777211062,-3073.6461240256926,-1180.1821424144796
220,-2361.442592691582,-3188.749456907687,-1244.0612580421362
230,-2465.2294282522157,-3307.141026813679,-1326.407100627669
240,-2566.4730452751205,-3420.2152593133405,-1406.6271274064495
250,-2664.9419862915875,-3529.743626112289,-1484.8616751199843
260,-2752.4744639029486,-3627.9397752298178,-1545.4870400461014
270,-2835.8757788473945,-3724.903073412947,-1601.5466712546909
280,-2927.7280480308355,-3829.010138681063,-1674.8724691918535
290,-3022.0066001811633,-3930.9055449334674,-1753.0461935653907
300,-3114.4184261777827,-4030.7103170098167,-1827.1679981344137
310,-3198.2590484536195,-4123.842643979238,-1890.7056126654907
320,-3271.9089175218223,-4207.498046440166,-1949.6785834583056
330,-3360.6418511538386,-4312.837930596783,-2022.1674325154154
340,-3448.051077800339,-4419.057945052573,-2093.347983839629
350,-3533.8456462535178,-4515.605430622608,-2163.2813715703714
360,-3618.1796550050954,-4607.262560582305,-2232.024219040146
370,-3696.483789131101,-4690.930926485054,-2293.157628975815
380,-3769.840790729706,-4768.109683790294,-2348.3695875957715
390,-3854.6835341669985,-4856.980960466681,-2418.7916372152877
400,-3938.4153094553167,-4944.493525451563,-2488.1370368109037
410,-4021.349467454833,-5038.612007602912,-2556.4485932683992
420,-4098.949002032389,-5128.646795410542,-2623.766414638182
430,-4177.678217212504,-5212.007946605627,-2689.459683725505
440,-4246.673526733037,-5293.83212129571,-2742.9833177777928
450,-4320.732863251556,-5372.244165772328,-2802.7038077361067
460,-4401.117941799817,-5456.699374879996,-2870.064468494267
470,-4479.238194014351,-5540.207732095546,-2936.5511826191296
480,-4554.598009553664,-5634.40750151969,-3002.1935482599542
490,-4629.4449726357,-5725.094688237734,-3067.0195683371453
500,-4702.960850455496,-5804.801376821304,-3134.8635196661685
510,-4766.709723938055,-5874.474941998112,-3192.331893044104
520,-4830.03879957065,-5944.938313980095,-3251.075064009359
